country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
DJI,,34.54823,,33.63267,35.48341,34.0344,34.14014,,35.23512,34.93245,34.21598,33.23979,33.02204,31.09517,30.42105,29.37453,
DMA,19.01818,19.02119,18.19075,17.23791,17.32064,16.738,16.13922,16.01969,15.92564,15.78295,14.84121,14.25,14.00558,13.07679,,,
DNK,,,,,,,,,,,,10.73738,,,,,
DOM,,25.23843,24.32793,22.51085,23.88067,19.62249,25.18972,25.53138,25.45855,23.6279,23.49304,20.56358,18.29098,18.52102,18.91694,18.92322,
DZA,27.53299,26.51107,25.43721,24.48384,23.93164,23.23052,22.99987,23.32803,23.26903,23.15942,23.26105,23.66406,23.83613,24.2355,24.22505,24.32018,
ECU,23.73489,23.13241,22.89619,22.51506,22.56566,,23.18609,21.98396,21.89836,22.07965,23.29823,24.70893,25.10819,25.09592,24.48003,24.26216,
EGY,22.18727,21.8606,25.6326,26.00118,27.08402,,27.20919,27.73437,,,,,,23.07766,23.77693,23.67945,
ERI,46.71681,46.68206,47.53362,47.2394,47.866,42.95363,38.46821,37.95899,40.4643,40.9313,45.66797,42.46671,43.33621,,39.24553,38.74092,
ESP,13.87611,13.93149,13.75078,13.58265,12.8265,12.42388,12.62216,12.40145,12.39876,12.60121,13.31975,13.09629,13.18623,12.99102,13.13172,,
EST,,,,10.58928,12.82706,12.15258,11.89762,11.72345,11.7829,11.54548,11.49954,,,11.26704,11.31153,,
ETH,,,,,,62.28293,57.9406,54.05852,55.06929,,,,,,,,
FIN,16.34786,15.95583,15.53424,15.0094,15.03387,14.394,13.64642,14.03056,13.67094,13.55949,13.19718,13.33204,,13.32179,13.66688,,
FJI,28.16087,28.1581,,,,26.03275,,,30.75971,27.99728,,,,,,,
FRA,18.63923,18.64066,18.55493,18.67071,18.95016,19.03749,18.72938,17.76643,17.5183,17.81514,18.1766,,,,,,
FSM,,,,,,,,,,,,,19.7106,,,,
GAB,36.04019,,,,,,,,24.53098,,,,,,,,
GBR,17.10493,18.09401,17.47359,18.08045,17.24426,18.26999,17.96198,17.52706,17.2654,18.30825,18.43752,16.5528,,15.05392,15.13275,,
GEO,14.50291,,,,,8.68001,8.9205,,,,9.09457,9.07882,9.01662,8.82638,9.01533,8.98194,
GHA,30.98782,32.34112,32.81364,35.38932,31.98986,32.24014,33.11177,,31.04223,32.98357,31.68167,30.07899,31.25587,30.5794,27.29644,27.24556,26.99486
GIB,,,,,,16.63731,16.03448,,,,,,,13.70588,14.17,,
GIN,44.99174,45.24222,44.86534,44.45992,45.36442,44.11118,43.68705,42.18615,44.08141,43.55555,44.21036,45.59096,,47.14862,,,
GMB,39.40341,38.53397,36.56464,38.47812,35.15646,34.36475,,37.48167,37.61854,33.86525,36.13171,44.68514,37.14288,,38.67589,36.13813,
GNB,,,,62.23411,,,,51.92515,,,,,,,,,
GNQ,31.97703,,,,,27.96517,24.21892,27.16736,27.90775,26.1669,,,23.22706,,,,
GRC,11.94256,11.25939,11.06286,10.53573,10.28887,,,,,9.19747,9.49328,9.44769,9.64365,9.27444,9.38027,,
GRD,18.69144,17.67486,18.23894,,15.76693,22.55772,17.09157,16.05523,,,14.79771,14.48004,16.99747,15.45199,16.18269,16.35068,
GTM,,30.88923,31.05577,30.95251,30.45308,29.42545,27.94058,26.86718,26.2891,25.54245,23.66146,22.98198,,21.74437,20.17993,20.26228,
GUY,26.55199,,28.03939,,26.17853,25.56042,25.56063,24.61945,24.59172,23.1645,,,,,,,
HKG,19.76984,18.7644,18.347,17.759,16.94053,16.54729,15.8539,15.16485,14.79974,14.43462,13.99258,13.84932,13.66248,13.67502,13.76886,13.34788,
HND,,32.90479,29.14181,27.92893,,33.34365,33.87645,,,,,,29.14566,28.37057,25.59773,,
HRV,17.72563,,17.52572,17.06071,16.69378,16.02884,14.78459,14.25609,13.83132,13.67519,13.71278,13.69721,13.702,13.50611,,,
HUN,9.58843,10.47323,10.44291,10.24786,10.05516,10.41766,10.49666,10.57857,10.5475,10.48051,10.40282,11.2436,10.97863,10.76744,,,
IDN,20.29418,20.12598,20.41336,19.00007,18.81593,20.68852,19.77613,19.0117,18.9804,18.59225,16.09408,16.55935,,13.97814,16.06371,17.03493,
IND,41.32988,,,,,,,,35.15463,,32.31833,31.28855,31.49146,35.21588,32.74955,,
IRL,18.67253,18.16768,17.86512,17.20225,15.93984,15.86217,15.81153,15.80376,15.57069,16.06046,,,,,,,
IRN,23.60989,22.60443,21.74286,21.84821,21.78506,21.33003,20.4884,,,,25.65459,25.91843,26.77414,27.32117,28.52479,,
IRQ,19.42497,20.52994,,,16.95545,,,,,,,,,,,,
ISL,,,,,,,,,9.70073,9.92804,9.85605,9.99398,10.14405,,,,
ISR,13.19244,13.20072,13.01884,13.34666,13.14135,13.02577,13.06781,13.05877,12.50256,,12.11677,12.11357,12.08838,12.07069,,,
ITA,10.8275,10.61624,10.49472,10.55403,10.32595,,,,,,12.03423,12.06786,12.02716,11.12385,11.48066,,
JAM,29.65919,27.53374,,,,,,,23.39354,22.85664,21.67349,22.08221,21.97603,22.64723,22.10634,24.79434,
JOR,19.93241,,,,,,,,,,,16.90871,,18.36314,21.03903,18.53699,
JPN,,,,,,,,,,,16.73194,16.44725,16.17666,15.87224,15.66096,,
KAZ,18.50973,17.93263,17.26973,16.77062,16.5296,16.63423,16.40689,16.24776,16.35795,16.19104,16.48238,16.85665,16.2004,18.5511,20.75555,19.63913,17.21457
KEN,38.02563,39.53539,41.97553,41.54025,41.95242,43.51672,43.33438,,,56.5747,,31.35317,30.65055,,,,
KGZ,24.45576,24.23079,24.48841,23.84174,24.2314,24.19711,24.03166,24.28436,24.91639,23.89988,24.54686,25.30667,26.19366,25.03207,24.91353,24.98946,
KHM,56.23746,55.05284,53.21143,50.42275,50.8791,48.53713,49.07538,48.44957,47.29163,45.72134,46.92711,44.63494,45.52116,42.53404,41.66267,41.7035,
KIR,26.50671,24.66193,24.6682,26.5462,24.6698,24.9969,,,,,,26.37134,,25.73171,25.48855,,
KNA,17.39402,17.42234,17.63889,,16.5914,16.14464,14.29797,14.11964,13.05664,15.0961,14.51688,13.798,15.09945,13.87277,,,
KOR,30.09795,29.02175,27.93159,26.62451,25.59446,24.06701,22.38299,20.91797,19.04941,17.87581,16.85167,16.50455,16.55424,16.30703,16.28669,,
KWT,13.28756,12.84563,12.06221,10.14275,9.6101,9.11151,8.56188,8.37512,8.60901,8.60056,8.60512,8.82856,8.86229,8.85539,8.8586,8.88073,
LAO,30.63596,31.42554,31.47889,31.03166,30.12454,30.49379,29.15319,28.83207,26.80852,27.12631,25.59771,25.1565,24.15685,22.95564,22.33745,22.33717,
LBN,17.36837,14.45002,14.57447,14.22194,14.25017,14.21478,13.94637,14.1419,14.23097,14.33889,12.04695,12.32599,,12.17537,12.48274,,
LBR,,,,27.97468,,24.27877,27.36148,,26.83431,,,26.49841,30.44637,21.52359,22.32254,,
LCA,22.27833,22.68667,21.96925,23.52838,22.73271,21.409,19.96736,18.53758,17.64146,17.24099,16.66479,14.21546,15.4614,15.12879,15.2315,14.73909,
LIE,9.16529,8.71538,8.62308,8.38433,7.12381,6.5,6.50305,6.13353,7.83658,7.44361,,7.8063,7.84524,7.68462,7.80156,,
LKA,23.42655,22.49661,21.924,23.47558,23.8074,23.49545,23.14925,23.91437,24.06572,24.4299,23.74954,23.65918,23.15243,23.16642,22.93257,21.73735,
LSO,46.23628,42.73081,41.58735,40.78086,37.20013,35.04477,33.75728,33.77485,33.87564,34.07946,32.62708,32.77944,33.08664,33.75653,32.94806,,
LTU,15.55441,14.72329,14.07004,13.64496,13.2633,12.99866,12.80744,12.84839,12.41205,12.43042,12.61606,12.80832,12.86014,13.22845,13.51703,,
LUX,11.49056,11.52665,11.32837,11.10342,11.0839,11.90842,,9.29398,8.99283,8.37204,8.14088,8.16851,8.45773,8.30333,,,
LVA,13.70082,12.97768,12.20087,11.76235,11.04241,11.11175,10.44778,11.8849,11.4136,11.01496,11.16241,11.08754,11.13249,11.3295,11.53684,,
MAC,25.9548,24.43137,23.24487,21.48361,20.35352,18.24476,17.33943,16.05961,14.84707,14.10087,13.70592,13.69802,14.08362,13.85535,13.50974,13.49843,
MAR,28.17638,27.55149,27.09953,26.95752,27.38468,26.53204,26.6096,26.23715,26.41532,25.83553,25.98351,25.66659,25.88159,26.59118,28.03417,26.80065,
MCO,,,,,,,,,,,,,12.63871,13.70548,10.45596,11.38506,11.7
MDA,19.17128,18.95654,17.95097,17.04615,16.25435,15.86201,15.74791,15.41452,15.3188,15.7877,16.32995,16.80874,17.45665,17.42007,17.68211,17.92314,
MDG,51.64584,52.38012,53.5879,48.14341,48.7325,47.15533,47.90319,40.14191,43.24486,43.06725,39.76644,41.71542,41.1927,40.606,,39.81169,
MDV,18.15834,22.72075,20.08085,16.41787,14.51632,13.2588,12.67736,11.70072,12.27511,11.4094,11.19408,12.02005,10.34037,10.29657,10.16278,,
MEX,26.66029,28.47157,28.3176,28.00397,27.99039,28.02416,28.11672,28.14672,28.11199,28.01636,27.69096,27.40876,26.92701,26.74201,26.55228,,
MKD,20.22806,19.95459,19.37878,19.12691,18.28429,17.27699,16.39845,15.93884,,15.15012,15.57295,15.168,14.40654,,14.91335,,
MLI,57.34473,52.24187,54.38829,52.76025,51.66885,51.43719,50.14558,50.39826,48.47335,,41.29582,42.47449,42.70695,39.08605,38.22009,37.82669,
MLT,18.17192,18.78114,18.40547,17.95282,16.85152,17.52094,,14.29348,12.61131,11.45141,13.89999,13.38202,13.49445,13.02685,12.93931,,
MMR,32.81404,31.99879,30.90499,29.90129,29.11336,28.81408,28.41903,28.2163,,,,27.56392,,22.04141,23.04535,24.3599,
MNG,30.76911,32.8681,34.23344,33.01005,31.59826,31.14934,30.36106,30.23907,29.32321,28.77793,27.58707,27.20739,28.222,29.69343,30.37955,30.38318,
MOZ,,65.23041,66.33962,67.26054,64.79571,63.99922,61.28936,58.48961,55.41963,54.84224,54.92451,54.83218,54.66026,53.60539,52.43683,55.27379,
MRT,41.05778,40.76051,40.32497,41.41219,42.51481,37.22792,39.0677,37.15186,39.29443,40.12932,35.37825,34.37911,35.81193,36.36696,36.35033,34.27814,
MUS,23.06335,21.98676,22.3399,21.68399,21.50505,21.66005,21.6212,21.46053,20.35924,20.93864,19.79263,18.73281,18.82093,17.79444,17.93769,16.19841,
MWI,,,,,78.12204,78.40557,80.67995,79.27172,76.07357,74.08589,69.14697,72.71752,69.50969,,,58.67919,
MYS,17.51402,17.48584,16.89527,15.65511,14.98441,14.44237,13.13521,12.60115,12.32447,12.00361,11.83126,11.4126,11.521,11.61165,11.6556,,
NAM,31.63484,33.09097,30.82422,31.44758,29.94574,29.40681,30.10654,29.77842,,,,,,,,25.09173,
NER,41.72588,43.6949,43.67687,39.98413,39.67316,40.71853,38.83216,38.61445,39.00208,38.75524,36.31449,35.75275,36.6289,36.2582,36.33661,,
NGA,34.87788,35.80647,36.90999,40.4173,46.08983,,,37.55319,,,,,,,,,
NIC,34.47031,35.01829,33.55782,33.2727,30.55547,29.19228,,30.21638,,,,,,,,,
NLD,,,,,,,,,11.55832,11.50226,,,11.62356,11.72995,11.80592,,
NOR,,,,,,,,,,,8.95778,8.85048,8.86857,9.01206,8.59418,,
NPL,35.65923,35.82852,39.71153,,40.01754,37.81655,33.30905,31.91867,29.61413,27.5331,25.63485,23.93286,23.09923,22.42122,20.90655,,19.74396
NRU,21.8254,26.36207,27.87692,26.78846,19.91935,22.39286,,,,,,39.45,,40.17778,,,
NZL,17.775,16.37427,16.27439,15.88598,15.68405,15.3172,14.60815,14.4885,14.55048,14.58702,,14.36696,14.49628,14.6225,14.91552,,
OMN,19.90897,,,,,,,,,,,,,,10.12768,9.67394,
PAK,34.82196,37.4976,38.33941,39.00535,39.95136,40.66857,39.68783,40.45158,39.83264,41.35274,42.54875,46.52317,46.34065,47.63465,44.78201,44.0773,
PAN,,24.03741,24.23255,24.5048,24.53809,24.23802,23.62485,23.45812,23.0112,22.60998,22.34957,21.98706,21.89367,21.44301,21.96162,,
PER,23.96144,23.30454,23.02813,21.88156,21.79327,20.87707,20.15716,19.68166,19.5637,19.18832,18.08394,17.66104,17.9767,18.31765,17.93677,17.38724,
PHL,34.92513,34.53153,35.07377,34.59417,33.66837,33.7418,31.43572,,,,,31.35082,30.26629,28.98824,29.08352,,
PNG,,,,,,,,,,,,,,35.52165,,,
POL,12.65283,,11.54338,11.23454,10.63653,9.94155,9.61028,9.31659,10.15536,10.18568,10.22951,10.19245,,,10.18051,,
PRI,,,,,,,11.65987,11.65964,12.05113,14.06949,12.89212,13.44119,13.89943,13.53647,,,
PRK,,,,,,,21.99997,,,,,,20.53463,,,20.30024,
PRT,11.11103,11.57131,10.52502,10.60093,11.72552,11.26325,11.24954,10.82935,11.10043,11.73422,12.78162,13.40675,13.30619,12.7774,12.35346,,
PRY,27.84307,27.84345,,,,,,,,24.15974,,,,,,,
PSE,33.38646,27.6851,24.51948,32.3483,30.07834,29.00439,27.95734,27.80112,25.64319,24.40835,23.5944,23.76348,23.99819,23.84715,24.72816,24.45322,
QAT,11.69476,,11.11321,10.68339,11.11044,12.50368,11.22017,12.03187,11.27954,9.59909,10.0029,11.20958,11.62677,11.6276,11.77467,12.1676,
ROU,17.49461,17.47659,16.9932,16.80541,16.54133,15.86022,15.8262,16.1126,17.36674,17.56015,,,18.90704,19.32759,19.33481,,
RUS,16.63307,,16.74517,17.14697,17.12104,17.44699,18.06296,,,19.59062,19.82861,19.80802,20.14375,20.61869,21.25883,,
RWA,59.90567,62.02973,68.95194,65.93305,69.28601,67.73053,68.29941,64.61867,58.09439,59.27851,59.81633,58.24871,58.34317,58.45684,57.85938,59.50859,
SAU,,,11.33458,,11.22689,10.75323,11.43193,11.15436,11.01062,10.88712,10.5435,10.75887,10.89539,11.70128,12.22675,13.81495,
SEN,46.04819,43.20416,41.67137,38.531,34.20976,36.43514,34.65629,33.65179,33.31196,32.69103,32.24855,32.23045,32.09004,31.74299,32.81273,36.31817,
SGP,,,,,21.14176,20.18209,18.21792,,,,,,,15.0593,14.69428,,
SLB,,,,,,,,19.91627,19.52728,19.13812,20.59775,20.31899,25.73093,25.15321,25.77788,25.41046,
SLE,,,,,,,,,31.33123,32.99373,34.83163,,33.75042,37.33182,39.43821,27.52246,
SLV,45.50168,46.16032,43.23934,40.09995,39.67234,32.61124,31.00441,,29.28568,,,,29.69441,28.26087,28.27102,26.89473,
SMR,,6.33772,,,,6.34274,6.22222,6.46311,6.40574,6.27092,,,,,,6.93061,
SOM,,,,,35.51919,,,,,,,,,,,,
SRB,,,,,17.04045,16.58853,16.18402,16.35445,15.48102,15.63411,15.15704,15.7097,15.24293,14.5183,14.28392,14.2927,
SSD,,,,,,,,,49.89984,,,,46.75029,,,,
STP,,32.06028,30.77576,,,,26.17273,,29.79713,28.65004,31.37579,32.72581,38.77644,32.15018,31.15842,,
SUR,,,18.61562,15.9867,13.23428,15.98622,15.38398,14.94652,14.31496,13.98546,13.73758,13.39388,13.33105,13.35066,12.92371,13.39335,
SVK,18.39264,17.67725,17.50733,17.20096,15.34656,16.61387,15.71918,15.24042,15.07841,14.94005,15.04676,15.23635,15.24933,15.2188,15.53919,,
SVN,12.65035,15.09636,15.13255,15.18873,17.64818,17.44067,17.15585,17.01688,16.7077,16.78039,16.8859,16.74887,16.90462,13.80157,,,
SWE,11.18875,10.10989,10.05038,9.96625,9.8046,9.55123,9.34009,9.53888,9.2663,9.64567,11.80923,11.93004,12.09754,12.3537,12.23325,,
SWZ,31.20419,32.31015,32.87287,33.25891,32.44134,,31.64829,32.3244,30.4911,29.05959,28.09674,28.03276,27.58272,27.27385,26.59621,,
SXM,,,,,,,,,,11.27358,,,,,,,
SYC,14.04,13.51442,13.71684,12.92197,12.46695,13.05075,13.82051,12.54703,13.25457,12.55556,13.13464,13.31118,13.72171,13.98602,14.03261,14.48826,
TCA,15.21008,,,,,,,,,,,9.28772,,,,17.69231,
TCD,72.11578,68.7188,63.15438,62.72308,60.37925,62.40153,61.01961,62.20393,62.59056,61.26763,62.42763,56.16602,55.54179,56.88788,,,
TGO,35.45168,39.08429,33.59536,37.56283,39.13792,41.32555,43.50925,40.57306,40.94767,41.67781,41.08672,41.13664,44.20973,41.39676,40.12613,40.14504,
THA,,,,18.26577,17.71738,15.99218,,16.2581,15.78457,16.28069,,15.3927,16.88246,16.65791,16.88809,16.63844,
TJK,22.3594,21.51849,21.32679,22.17816,21.60943,22.67432,23.24594,25.18145,23.27456,23.00472,22.69386,22.3589,22.28986,22.19159,22.30051,,
