country_code,2010,2015,2019
AFG,11.0309239785858,16.3899646832828,17.2884637273119
AGO,7.54860522335174,8.48617579247668,9.08828741319193
ALB,6.14152050888872,4.12681470034922,3.03599641131377
ARE,25.8496797310964,21.3335339685728,15.8086878707137
ARG,5.90790513617686,6.21245052686423,5.70904330858032
ARM,4.75483687569386,4.41768970251022,4.67775117531801
ATG,6.80745779974433,5.2088948949001,5.37279775035651
AUS,5.58861532137959,5.85702495846548,5.94459221316378
AUT,5.43325113185383,5.37756284546725,5.44531462854727
AZE,4.8011839760545,4.37324129505155,3.7636405524941
BDI,9.74186135839884,11.9250345568974,12.0613038251609
BEL,6.22276976538698,6.20055951618006,6.12096377150522
BEN,8.40497407596057,8.99444025754243,9.19147102400214
BFA,7.88334301348522,9.92548775907268,11.1299696099475
BGD,7.59040285131126,7.48848529773928,7.13149266345035
BGR,2.73246255710327,2.70872028201864,2.47491821960442
BHR,10.5058199179016,9.96066556020824,8.89231702659159
BHS,11.9806420607558,12.4535254221082,13.8557689084434
BIH,4.53121916421062,4.19807008705015,3.76658780271476
BLR,8.72222150541058,6.40337946850778,5.71450571457612
BLZ,18.6633499374265,18.8572010861558,18.8455291613112
BOL,9.36407931995113,8.87878422709081,8.7017791007376
BRA,13.157491731561,12.4539423731105,11.5536597805284
BRB,4.90213119716005,4.8417071329335,4.30922726355312
BRN,6.46352442569816,5.81397008604119,4.98998923708015
BTN,9.12143561086106,9.08778513709315,9.04574466073515
BWA,9.42621942570057,9.53531999981647,9.38521814911902
CAF,7.29432692544111,9.06562121961068,9.02071399710817
CAN,6.0490614475443,5.77819938098487,5.41911458940873
CHE,5.67378141368627,5.69679930275473,5.69826863764251
CHL,8.38281010391552,7.80545651380818,7.76325777813412
CHN,8.45468322056477,7.52589476453976,6.81721294175657
CIV,8.18791100268325,9.14746068854232,10.0346807490684
CMR,8.30510628157126,9.62901695811478,10.4575175768539
COD,7.96674703194121,8.7712703210264,9.68515364034957
COG,8.69583835839341,8.52489603345905,9.45927513175737
COL,20.6432571253912,16.2213304413647,14.0145081478681
COM,10.2213891847716,10.7729774645326,11.2467830416715
CPV,15.147917895114,16.1055877022009,14.0503672882585
CRI,11.8360969867187,11.596610408711,10.8785114228484
CUB,7.7498903898818,7.89808301098523,7.47764328278062
CYP,5.72467463654588,4.81592639526197,5.3466254345444
CZE,5.51107577546436,4.98468926732941,4.77548092277927
DEU,3.86786151573768,3.94692920225668,4.64167927814672
DJI,8.90104221142922,9.27471259063528,10.8115460993377
DNK,3.56555888382115,3.49101268373796,3.51602038320691
DOM,13.8254967992492,11.8261360981609,15.48988619393
DZA,9.1759032898511,8.26364202949081,7.66004004219541
ECU,15.5129099576227,12.7684668395987,11.4597060711425
EGY,5.24198904574586,4.98902704069397,4.76370850328626
ERI,10.6573225459932,11.2130717577164,11.8773072432547
ESP,3.60992714614944,3.4163321994382,3.62210162451938
EST,5.9447297515638,4.38723093058245,4.22251355239039
ETH,9.70056127838052,10.7687488081452,12.086981875164
FIN,6.61701209396121,5.46862261435763,5.6430073668987
FJI,6.13464931113566,6.06215366894348,5.94428024132822
FRA,6.93911343109398,6.59523492090918,6.35586909299778
FSM,8.10430564567698,8.59355660751819,7.80877881508904
GAB,7.69709005049004,8.55188304646908,8.72346871611595
GBR,3.34052925512224,3.44305898990108,3.68614740758269
GEO,4.72123913842452,4.50710591601015,3.9013560135276
GHA,8.1359078178699,8.97431062156061,9.37566706581807
GIN,7.88533640381664,8.49686422130374,8.76659121001158
GMB,9.58680655274292,10.2174254207636,10.730154367917
GNB,8.00370354571946,8.28575129888868,9.20610287326903
GNQ,6.45267607951912,7.27974546437007,7.70971711464802
GRC,2.99104425645348,3.30112596768081,3.9092271407784
GRD,4.99853717005351,5.67778862182118,5.85597642799092
GTM,17.0785278642045,15.2702954374445,16.1241799000554
GUY,13.8900832344491,13.9410906888694,12.9406666905255
HND,21.9731868808077,18.7612067167716,17.885319118491
HRV,5.53875878322267,5.19948394476106,5.06513555428123
HTI,73.4287751345649,10.3566672167428,10.6268315967256
HUN,5.51193618971543,4.54410005508674,4.13719063874997
IDN,5.60726640839076,5.04473675290412,4.74791485029487
IND,10.1960360603314,9.696794964685,9.9006121614115
IRL,5.05501740113206,3.91249200952794,3.9095342520665
IRN,15.002909102333,11.6151208049467,10.6036644428042
IRQ,18.7417826923543,29.1134093492759,17.8103902558149
ISL,5.54270504485426,5.82459297325566,5.56091161354251
ISR,5.22801580232753,4.1685711777156,4.23548509030735
ITA,4.1272223583359,3.72884061667593,3.85670624309975
JAM,13.007923519558,11.4189954390816,11.729280289459
JOR,12.2814160603243,13.0671204459816,10.3837060486942
JPN,6.33984440942013,5.27661045185498,4.91285957647839
KAZ,11.1207486163949,9.92160776443485,8.19985364765381
KEN,8.40545976413459,9.88693688950024,10.8536088765901
KGZ,10.1500550943121,8.6351461140073,7.97238903608636
KHM,9.49994065695915,9.09181769469773,9.24472413666233
KIR,6.25376415912025,6.062927092235,5.56978611559355
KOR,12.7241226603015,10.3210205864257,9.26079720632437
KWT,18.5229338389559,18.4284869649112,13.5451957149019
LAO,8.42901623264971,8.73618909968906,9.01654868295383
LBN,6.4276666402347,6.8523604053503,5.89549332195732
LBR,8.19478415858473,8.28392336535804,9.91344023749502
LBY,13.5791381013593,24.2729948437164,14.556827487362
LCA,11.1732414741167,9.98071955577099,9.96256171925254
LKA,15.7652585089274,8.10632306882883,8.0110528250866
LSO,10.7566446858763,12.963464856312,12.7314607776223
LTU,8.97816525897928,6.91261389981482,5.43139588283383
