country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
KAZ,,,,,34.58135,30.95424,30.23124,27.93454,28.13712,64.11357,176.90469,183.96063,161.79134,149.23531,123.78306,123.85629
KEN,,,,,61.0139,,,627.73199,,,,,,,,
KHM,,,,,,,,,,,,,60.88483,,,
KOR,557.92581,571.75161,539.44425,573.55359,704.17934,800.54697,902.60459,959.85384,1042.40285,1152.89228,1156.14651,1228.16954,1212.13441,1227.80109,1251.10685,1311.43521
KWT,41.63532,42.26328,42.28706,41.28624,37.53965,35.01494,38.28369,29.07867,29.98681,19.70824,,61.98961,54.75036,48.52314,50.93564,45.19843
LKA,,76.02973,,64.58173,,78.61295,,91.35446,,,60.88163,82.68991,74.70815,,,
LSO,2.47727,10.46891,,,,,23.51604,,0.8983,,,,6.94505,,,
LTU,432.29122,452.80706,429.39142,422.60322,498.31542,539.39397,419.60493,541.3251,462.47604,,,,,,,
LUX,3766.86146,,3402.48383,2758.53182,2781.97151,3034.78539,2866.71218,3362.79778,3289.3356,2954.27959,2941.32078,3094.04959,3285.45138,3109.11778,3166.02186,
LVA,321.79051,351.92093,471.58228,660.20514,498.15999,565.10992,591.6677,431.83578,391.19034,,,,,,,
MAC,204.70918,205.26,228.22445,265.29013,356.58291,417.67025,450.22796,581.54766,666.26485,645.34545,732.62992,745.83876,1107.30213,160.6792,218.01039,182.46268
MAR,,,,47.62263,47.07404,60.53244,,52.46822,51.76645,42.53668,,41.35427,,40.25476,,
MCO,,179.10448,147.74104,,,,,,,,,,,,,
MDA,111.71372,98.32143,93.03787,101.08598,116.71835,99.50913,79.13135,80.60824,66.30068,65.73963,73.64445,68.63265,67.54749,73.50349,70.75327,60.40577
MDG,10.88017,9.82981,10.6344,14.72437,14.40809,24.80437,24.16244,15.41252,16.51033,,,,,19.40198,10.75458,12.60361
MEX,148.46574,213.26139,243.34655,179.6948,183.53859,221.90985,238.37874,181.95617,184.89759,142.73078,137.55378,115.64111,120.92606,140.29751,,
MKD,66.71777,94.79604,81.54259,73.67443,88.11742,81.74863,66.21431,81.95134,59.57577,109.31514,53.31716,67.81292,74.35094,85.02732,91.88298,91.11566
MLI,,,,12.04237,,,,22.75181,,,,,18.45485,,23.78294,
MLT,,364.92998,548.6182,543.89557,654.64924,683.77571,682.78128,808.68455,974.35087,912.73538,807.22561,948.40271,765.75506,742.95398,885.98028,
MMR,,,,,,,,,,,,,,,18.69526,
MNE,,,,,,,,,103.31537,,102.18011,202.66658,129.38707,175.36476,156.15962,
MOZ,,,,35.72088,,30.22006,2.07209,46.44271,,,,,26.74062,,,
MUS,,,,,,,,,,54.36829,,,,,,130.27301
MWI,,,,,59.26484,,,60.00848,,,,,,,,
