country_code,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
NLD,,,,,,,,,,,,,,13.7,,,
NPL,,,13.4,,,,17.2,,,,,,,,,,10.3
NZL,,,,,,,,,,,,,,,,,20.3
PAK,,,,,,,6.0,,,,,,,,,3.4,
PAN,,,,23.5,,,,,,,,,,,,,
PER,,,,14.1,,,,,,,19.9,,,,,,22.4
PHL,,,32.7,,,,,,29.9,,,,,,,,43.4
PNG,,,,,,,,,13.8,,,,,,,,
POL,,,31.1,,,,20.4,,,,,,27.8,,,,
PRT,,,,,,,,,,,,,14.0,,,,19.1
PRY,,,,22.8,,,,,,,19.6,,,,,,19.1
PSE,,,,,,,1.3,,,,,,0.9,,,,2.7
ROU,,,24.7,,,,18.3,,,,,,17.2,,,,19.0
RUS,,,14.3,,,20.1,,,,,,,24.3,,,,
RWA,,,,,19.7,,,,,,,,21.8,,,,28.1
SAU,,,,,,,,,,,,,,,,3.0,
SDN,,,,,,,,3.4,,,,,,,,,
SEN,,,,,,,,14.1,,,,,,,,,
SGP,,,,,,,,,,,,,,,,,21.8
SLB,,,,,,,,,22.6,,,,,,,,
SLE,,,7.1,,,,,,,,15.9,,,,,,13.0
SLV,,,,21.4,,,,,,28.0,,,,,,,25.6
SRB,,,15.9,,,,15.3,,,,,,18.2,,,,
SSD,,,,,,,,9.5,,,,,,,,,
SUR,,,,15.0,,,,,,,,11.9,,,,,
SVK,,,19.8,,,,14.0,,,,,,22.9,,,,20.6
SVN,,,15.9,,,,21.9,,,,,,18.8,,,,
SWE,,,,,,,,12.5,,,,,,14.0,,,
SWZ,,,,,,,,,,27.4,,,,,,,
SYC,,,,,,,,,,,,,,,,,26.3
SYR,,,22.8,,,,,,,,,,,,,,
TCD,,,6.8,,,,,,,,,12.0,,,,,8.5
TGO,,,15.1,,,,,,,11.4,,,,,,,13.2
THA,,,,,,,,,,64.8,,,,,,,
TJK,,11.8,,,,,9.1,,,,,,6.6,,,,
TLS,,,,,,,,,27.0,,,,,,32.2,,
TTO,,,,20.8,,,,,,,,,,,,,
TUN,,,,,,,8.5,,,,,,,10.4,,,
TUR,,12.4,,,,,5.5,,,,,,3.9,,,,
TZA,,,,,,,14.0,,,,,,,,,,17.5
UGA,,,,,,,15.4,,,,,,,,,,
UKR,,27.9,,,,,20.9,,,,,,17.7,,,,
URY,,,,19.4,,,,,,,10.6,,,,,,
UZB,,11.4,,,,,14.9,,,,,,12.4,,,,
VCT,,,,38.6,,,,,,,,,,,,,
VEN,,,,31.1,,,,,,,,,,,,,
VNM,,,26.4,,,,,,22.4,,,,,,,,19.4
VUT,,,,,,,,,,,,,,,,,39.7
WSM,,,,,,,,,,,,,,,,,48.0
YEM,,,,0.1,,,1.6,,,,,,,,,,
ZAF,,,,,,,,,,,,,,38.5,,,
ZMB,,,,,,,22.5,,,,,,12.9,,,,
ZWE,,,,,17.4,,,,,16.3,,,,,,,
