country_code,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
GAB,176.0,176.0,176.0,157.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0
GBR,108.0,108.0,108.0,104.0,79.0,79.0,79.0,79.0,79.0,50.0,46.0
GEO,96.0,96.0,96.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0
GHA,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,78.0,78.0,55.0
GIN,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0
GMB,201.0,201.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0
GNB,458.0,458.0,458.0,458.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0
GNQ,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0
GRC,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
GRD,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
GTM,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
GUY,112.0,112.0,112.0,112.0,112.0,112.0,82.0,82.0,82.0,82.0,82.0
HKG,93.0,93.0,43.0,41.0,38.0,38.0,28.0,27.0,27.0,24.0,24.0
HND,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
HRV,70.0,70.0,70.0,70.0,70.0,70.0,70.0,65.0,65.0,65.0,65.0
HTI,66.0,66.0,66.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
HUN,252.0,252.0,252.0,252.0,252.0,252.0,252.0,257.0,257.0,257.0,257.0
IDN,,,,,86.8,81.34,79.0,57.68,34.0,34.0,32.24
IND,,,,,115.61,115.61,100.02,59.21,59.21,54.97,52.85
IRL,205.0,205.0,205.0,205.0,205.0,85.0,85.0,85.0,85.0,85.0,85.0
IRN,110.0,110.0,110.0,110.0,110.0,110.0,77.0,77.0,77.0,77.0,77.0
IRQ,52.0,52.0,52.0,52.0,52.0,82.0,82.0,51.0,51.0,51.0,51.0
ISL,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
ISR,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
ITA,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,75.0,75.0,75.0
JAM,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
JOR,52.0,52.0,52.0,52.0,52.0,55.0,55.0,55.0,55.0,55.0,55.0
JPN,,,,,81.9,81.9,81.9,81.55,80.9,80.9,80.9
KAZ,88.0,88.0,88.0,88.0,88.0,88.0,91.0,77.0,77.0,71.0,71.0
KEN,150.0,150.0,150.0,133.0,145.0,145.0,110.0,97.0,97.0,97.0,97.0
KGZ,258.0,258.0,258.0,136.0,136.0,136.0,111.0,111.0,111.0,111.0,111.0
KHM,194.0,194.0,194.0,194.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0
KIR,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0
KNA,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
KOR,18.0,18.0,18.0,18.0,18.0,18.0,18.0,13.0,13.0,13.0,13.0
