country_code,2017,2018
ABW,,2.0
AFG,,16.0
AGO,,32.0
ALB,,8.0
AND,,3.0
ARE,,13.0
ARG,,52.0
ARM,,14.0
ASM,,8.0
ATG,,3.0
AUS,,52.0
AUT,,13.0
AZE,,17.0
BDI,,15.0
BEL,,8.0
BEN,,12.0
BFA,,12.0
BGD,,36.0
BGR,,17.0
BHR,,7.0
BHS,,10.0
BIH,,7.0
BLR,,9.0
BLZ,,6.0
BMU,,3.0
BOL,,55.0
BRA,,175.0
BRB,,4.0
BRN,,31.0
BTN,,21.0
BWA,,16.0
CAF,,16.0
CAN,,24.0
CHE,,9.0
CHL,,35.0
CHN,,96.0
CIV,,25.0
CMR,,29.0
COD,,42.0
COG,,7.0
COL,,126.0
COM,,14.0
CPV,,7.0
CRI,,27.0
CUB,,19.0
CUW,,2.0
CYM,,3.0
CYP,,7.0
CZE,,9.0
DEU,,11.0
DJI,,12.0
DMA,,7.0
DNK,,9.0
DOM,,17.0
DZA,,15.0
ECU,,106.0
EGY,,14.0
ERI,,21.0
ESP,,19.0
EST,,9.0
ETH,,35.0
FIN,,11.0
FJI,,14.0
FRA,,16.0
FRO,,6.0
FSM,,12.0
GAB,,7.0
GBR,,11.0
GEO,,14.0
GHA,,23.0
GIB,,6.0
GIN,,20.0
GMB,,14.0
GNB,,12.0
GNQ,,6.0
GRC,,17.0
GRD,,2.0
GRL,,6.0
GTM,,17.0
GUM,,14.0
GUY,,16.0
HKG,,21.0
HND,,14.0
HRV,,14.0
HTI,,17.0
HUN,,13.0
IDN,,160.0
IMN,,0.0
IND,,93.0
IRL,,9.0
IRN,,28.0
IRQ,,17.0
ISL,,7.0
ISR,,18.0
ITA,,17.0
JAM,,11.0
JOR,,14.0
JPN,,49.0
KAZ,,27.0
KEN,,44.0
KGZ,,15.0
KHM,,31.0
KIR,,6.0
KNA,,3.0
KOR,,33.0
KWT,,11.0
LAO,,29.0
LBN,,11.0
LBR,,14.0
LBY,,8.0
LCA,,7.0
LIE,,2.0
LKA,,16.0
LSO,,8.0
LTU,,10.0
LUX,,3.0
LVA,,11.0
MAC,,4.0
MAF,,1.0
MAR,,18.0
MCO,,0.0
MDA,,11.0
MDG,,37.0
MDV,,0.0
MEX,,71.0
MHL,,4.0
MKD,,13.0
MLI,,17.0
MLT,,5.0
MMR,,56.0
MNE,,13.0
MNG,,24.0
MNP,,17.0
MOZ,,30.0
MRT,,19.0
MUS,,12.0
MWI,,19.0
MYS,,63.0
NAM,,32.0
NCL,,17.0
NER,,13.0
NGA,,21.0
NIC,,17.0
NLD,,10.0
NOR,,11.0
NPL,,38.0
NRU,,2.0
NZL,,69.0
OMN,,13.0
PAK,,33.0
PAN,,25.0
PER,,119.0
PHL,,93.0
PLW,,6.0
PNG,,39.0
POL,,11.0
PRI,,11.0
PRK,,29.0
PRT,,15.0
PRY,,27.0
PSE,,15.0
PYF,,35.0
QAT,,9.0
ROU,,17.0
RUS,,57.0
RWA,,20.0
SAU,,18.0
SDN,,26.0
SEN,,19.0
SGP,,22.0
SLB,,24.0
SLE,,16.0
SLV,,7.0
SMR,,0.0
SOM,,21.0
SRB,,13.0
SSD,,21.0
STP,,12.0
SUR,,9.0
SVK,,12.0
SVN,,10.0
SWE,,11.0
SWZ,,13.0
SXM,,1.0
SYC,,13.0
SYR,,17.0
TCA,,4.0
TCD,,16.0
TGO,,13.0
THA,,62.0
TJK,,15.0
TKM,,19.0
TLS,,6.0
TON,,5.0
TTO,,5.0
TUN,,11.0
TUR,,20.0
TUV,,1.0
TZA,,49.0
UGA,,30.0
UKR,,17.0
URY,,22.0
USA,,91.0
UZB,,19.0
VCT,,4.0
VEN,,52.0
VGB,,3.0
VIR,,3.0
VNM,,52.0
VUT,,8.0
WSM,,6.0
YEM,,16.0
ZAF,,54.0
ZMB,,20.0
ZWE,,19.0
