country_code,2019
AFG,173.0
AGO,177.0
ALB,82.0
ARE,16.0
ARG,126.0
ARM,47.0
ATG,113.0
AUS,14.0
AUT,27.0
AZE,28.0
BDI,166.0
BEL,46.0
BEN,149.0
BFA,151.0
BGD,168.0
BGR,61.0
BHR,43.0
BHS,119.0
BIH,90.0
BLR,49.0
BLZ,135.0
BOL,150.0
BRA,124.0
BRB,128.0
BRN,66.0
BTN,89.0
BWA,87.0
CAF,184.0
CAN,23.0
CHE,36.0
CHL,59.0
CHN,32.0
CIV,110.0
CMR,167.0
COD,183.0
COG,180.0
COL,67.0
COM,160.0
CPV,137.0
CRI,74.0
CYP,54.0
CZE,41.0
DEU,22.0
DJI,112.0
DMA,111.0
DNK,4.0
DOM,115.0
DZA,157.0
ECU,129.0
EGY,114.0
ERI,189.0
ESP,31.0
EST,18.0
ETH,159.0
FIN,20.0
FJI,102.0
FRA,33.0
FSM,158.0
GAB,169.0
GBR,8.0
GEO,7.0
GHA,118.0
GIN,156.0
GMB,155.0
GNB,174.0
GNQ,178.0
GRC,79.0
GRD,146.0
GTM,96.0
GUY,134.0
HKG,3.0
HND,133.0
HRV,51.0
HTI,179.0
HUN,52.0
IDN,73.0
IND,62.0
IRL,24.0
IRN,127.0
IRQ,172.0
ISL,26.0
ISR,35.0
ITA,58.0
JAM,71.0
JOR,75.0
JPN,30.0
KAZ,25.0
KEN,56.0
KGZ,80.0
KHM,144.0
KIR,164.0
KNA,139.0
KOR,5.0
KWT,83.0
LAO,154.0
LBN,143.0
LBR,175.0
LBY,186.0
LCA,93.0
LKA,99.0
LSO,122.0
LTU,11.0
LUX,72.0
LVA,19.0
MAR,53.0
MDA,48.0
MDG,161.0
MDV,147.0
MEX,60.0
MHL,153.0
MKD,17.0
MLI,148.0
MLT,88.0
MMR,165.0
MNE,50.0
MNG,81.0
MOZ,138.0
MRT,152.0
MUS,13.0
MWI,109.0
MYS,12.0
NAM,104.0
NER,132.0
NGA,131.0
NIC,142.0
NLD,42.0
NOR,9.0
NPL,94.0
NZL,1.0
OMN,68.0
PAK,108.0
PAN,86.0
PER,76.0
PHL,95.0
PLW,145.0
PNG,120.0
POL,40.0
PRI,65.0
PRT,39.0
PRY,125.0
PSE,117.0
QAT,77.0
ROU,55.0
RUS,29.0
RWA,38.0
SAU,63.0
SDN,171.0
SEN,123.0
SGP,2.0
SLB,136.0
SLE,163.0
SLV,91.0
SMR,92.0
SOM,190.0
SRB,44.0
SSD,185.0
STP,170.0
SUR,162.0
SVK,45.0
SVN,37.0
SWE,10.0
SWZ,121.0
SYC,100.0
SYR,176.0
TCD,182.0
TGO,97.0
THA,21.0
TJK,106.0
TLS,181.0
TON,103.0
TTO,105.0
TUN,78.0
TUR,34.0
TZA,141.0
UGA,116.0
UKR,64.0
URY,101.0
USA,6.0
UZB,69.0
VCT,130.0
VEN,188.0
VNM,70.0
VUT,107.0
WSM,98.0
YEM,187.0
ZAF,84.0
ZMB,85.0
ZWE,140.0
