country_code,2005,2010,2011,2012,2013,2014,2015,2016,2017
AFG,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
AGO,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
ALB,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9999999999642,99.9999999999643
AND,100.0,99.9566358235583,100.0,99.955997318409,97.6859593235148,16.5989802462163,90.8480627384849,17.4195577199093,17.8244594869492
ARE,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
ARG,99.4115039164003,99.4476413232427,99.5304130879093,99.2176885641081,99.0264640003624,98.3140640099954,98.0219286945161,94.1394599235076,93.8528246666324
ARM,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
ASM,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
ATG,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
AUS,33.4924203994519,32.9709729750069,36.3234231456682,30.6545427136297,28.2740594586091,27.1055138379226,26.0466667521997,24.9042085244703,24.8935837696774
AUT,99.1482984298898,98.4515418523421,99.2571707780935,97.4101430930591,95.7683551530782,93.7856719726694,91.4744653522326,85.0159346896433,85.0515376653505
AZE,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BDI,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BEL,98.9978822682005,99.4955888679424,99.3547420632009,98.42810981097,96.8022928575475,94.4891524267585,95.1043453766346,91.7891148256158,91.9485403518636
BEN,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BFA,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BGD,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BGR,99.9631116184999,99.9643895445421,99.9646504112679,99.964937755683,99.9652794693565,99.9657025025398,99.9662317940315,99.8934934401901,99.8946743201431
BHR,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BHS,100.0,100.0,100.0,100.0,99.999999999342,99.9999999987,99.9999999987145,99.9999999917302,99.9999999918088
BIH,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9554469178915,99.9552350286901
BLR,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9313519680704
BLZ,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BMU,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BOL,100.0,100.0,100.0,100.0,100.0,100.0,99.9997322955159,99.9974859925192,99.9991320215104
BRA,89.7840830783103,90.9381232942568,91.9283745885836,86.829230250407,85.3347137545434,77.1164730889402,74.9277515309761,67.9525591753989,68.1350300575805
BRB,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BRN,1.76213857046846,1.76724442391376,1.76792014230185,1.76851769860472,0.0,0.0,0.0,0.0,0.0
BTN,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BWA,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
CAF,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
CAN,19.6026822515034,13.6672176250704,18.7208185459221,8.33818394514693,6.63032676828626,2.02339152072758,0.725554041704435,0.0,0.0
CHE,93.5750613398087,93.0007045460388,94.7852350840776,91.8209143581515,86.9104974533489,78.499186393826,72.3111073443463,49.3394536369063,49.3001362303515
CHL,99.272596170052,99.2864982318215,99.3197611890526,99.2994810676024,99.301999621247,99.1504517547802,98.5762989258251,97.594418737426,97.6630177077565
CHN,99.999996861798,99.9999974253327,99.9999975448802,99.999992994816,99.9999905399797,99.9999584481301,99.9999551645374,99.9982986494764,99.9982944622564
CIV,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
CMR,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COD,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COG,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COL,99.8770854967477,99.8760372413248,99.8381953006909,99.8561801263407,99.3528605884275,97.4810442275854,96.3381509958462,92.7433952370884,92.1046289822956
COM,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
CPV,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
CRI,99.999999999758,99.9999999997965,99.9999999998436,99.9999999997792,99.9999999997354,99.9999999996518,99.9799860248742,99.7170666602465,99.6887933668832
CUB,99.999999999981,99.999999999981,99.999999999981,99.9999999999811,99.9999999999811,99.9999999999811,99.9999999999811,99.9999999999812,99.9999999999811
CYP,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
CZE,99.9677573474524,99.9684096538509,99.9685195195117,99.9434717498816,99.9272010224121,99.9178608517105,99.8282838822608,99.674855479732,99.6772126159304
DEU,99.1848609756882,99.599440069301,99.4480294451265,98.2950679634862,97.8463215365016,95.7252958815951,95.9525959398708,89.1546627249363,89.1743564300489
DJI,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
DMA,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
DNK,97.1396754720324,96.0990141660438,98.9586816259961,85.4742336319957,78.750293564805,82.8343073187766,75.1874411831808,57.0917623810824,56.9144561104444
DOM,100.0,100.0,100.0,100.0,99.999999999966,99.9785717266658,99.9785982241453,99.9138839065148,99.9134426224712
DZA,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
