country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
DNK,,0.0,0.0,0.0,0.0,0.0,0.23362,0.25973,0.5755,0.81747,1.22111,1.15977,1.15959,1.04342,1.10879,,
DOM,,8.83751,9.91801,9.93117,6.87286,,8.59504,9.25126,10.21062,10.3882,9.6935,9.12615,6.30048,4.86674,6.32649,6.28867,
DZA,14.0506,14.34189,13.62392,14.41535,13.5684,9.53357,13.08726,9.15963,9.20384,8.63382,8.51597,8.61315,7.75852,7.3377,7.30417,7.17467,
ECU,2.2575,2.25717,1.85952,1.71499,1.58464,,3.0818,2.42176,2.5174,1.91646,2.20493,1.30594,0.9362,0.7958,0.75872,0.54294,
EGY,5.60021,5.01107,2.70062,,,,4.1567,4.35415,4.33835,4.17539,3.95152,,,3.9763,2.96557,2.68654,
ERI,20.11245,20.63961,13.03764,13.86693,14.94399,16.03133,14.3885,15.81602,12.15895,13.4021,11.99888,,6.52205,,8.81665,9.07107,
ESP,,2.62385,,3.23003,2.88628,3.02911,3.07006,2.98598,2.88179,2.73784,2.77512,2.61194,2.47187,3.41094,2.8595,,
EST,3.29368,2.98977,2.26308,2.93485,0.0,1.294,0.92921,0.8241,0.94212,0.69992,0.68629,0.75006,0.69726,0.707,0.65798,,
ETH,14.27586,11.52215,7.93153,7.30849,6.57392,6.16246,7.14443,6.69292,7.09652,9.1627,,7.80245,7.04709,,,,
FIN,0.56972,0.5401,0.61264,0.54682,0.5646,0.53023,0.52817,0.53629,0.49292,0.48595,0.47727,0.43157,0.38144,0.33147,0.31595,,
FJI,,2.71937,,2.70266,,2.01752,1.33351,,0.74665,0.69619,0.22366,,0.36524,0.36088,,,
GAB,35.13275,,,,,,,,,,,,,,,,
GBR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
GEO,0.22809,0.36046,0.35905,,,0.37058,0.1084,0.10389,,0.23629,0.22796,0.25509,0.29717,0.3301,0.30724,0.44216,
GHA,6.13778,5.82896,5.97058,6.73694,7.02635,7.01759,3.55963,,2.46698,2.80726,2.58389,2.73969,2.03426,,1.84507,1.91879,
GIB,,,,,,,,,,,,,,0.0,0.0,,
GIN,19.83531,10.07926,8.44913,8.26236,8.71157,15.05918,14.67737,15.60057,11.13041,14.01425,13.87482,13.42573,,11.33928,,,
GMB,5.71603,5.10781,6.12215,5.46261,5.95725,5.5311,,2.92834,2.82017,2.71061,3.51501,3.82436,5.57608,5.58187,,,
