country_code,2013,2014,2015,2016,2017,2018,2019
LIE,,,,,,3.0,3.0
LKA,2.0,2.0,2.0,2.0,2.0,2.0,2.0
LSO,5.0,5.0,5.0,5.0,5.0,5.0,5.0
LTU,6.0,6.0,6.0,6.0,6.0,6.0,6.0
LUX,3.0,3.0,3.0,3.0,3.0,3.0,3.0
LVA,9.0,9.0,9.0,9.0,9.0,9.0,9.0
MAR,2.0,2.0,2.0,2.0,2.0,2.0,2.0
MDA,8.0,8.0,8.0,8.0,8.0,8.0,8.0
MDG,1.0,1.0,2.0,2.0,2.0,2.0,2.0
MDV,2.0,2.0,2.0,2.0,2.0,2.0,2.0
MEX,7.0,8.0,10.0,10.0,10.0,10.0,10.0
MHL,10.0,10.0,10.0,10.0,10.0,10.0,10.0
MKD,6.0,6.0,6.0,9.0,9.0,9.0,9.0
MLI,6.0,6.0,6.0,6.0,6.0,6.0,6.0
MLT,2.0,2.0,2.0,2.0,2.0,2.0,2.0
MMR,2.0,2.0,2.0,2.0,2.0,2.0,2.0
MNE,12.0,12.0,12.0,12.0,12.0,12.0,12.0
MNG,5.0,5.0,5.0,5.0,9.0,9.0,9.0
MOZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MRT,2.0,2.0,2.0,2.0,2.0,2.0,2.0
MUS,6.0,6.0,6.0,6.0,6.0,6.0,6.0
MWI,5.0,5.0,5.0,9.0,11.0,11.0,11.0
MYS,7.0,7.0,7.0,7.0,7.0,7.0,7.0
NAM,5.0,5.0,5.0,5.0,5.0,5.0,5.0
NER,6.0,6.0,6.0,6.0,6.0,6.0,6.0
NGA,6.0,6.0,6.0,6.0,9.0,9.0,9.0
NIC,1.0,1.0,1.0,1.0,1.0,2.0,2.0
NLD,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NOR,5.0,5.0,5.0,5.0,5.0,5.0,5.0
NPL,6.0,6.0,6.0,6.0,10.0,10.0,10.0
NZL,12.0,12.0,12.0,12.0,12.0,12.0,12.0
OMN,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PAK,2.0,2.0,2.0,2.0,2.0,2.0,2.0
PAN,4.0,7.0,7.0,7.0,8.0,8.0,8.0
PER,7.0,7.0,7.0,7.0,7.0,7.0,7.0
PHL,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PLW,10.0,10.0,10.0,10.0,10.0,10.0,10.0
PNG,3.0,3.0,3.0,9.0,9.0,9.0,9.0
POL,7.0,7.0,7.0,7.0,7.0,7.0,7.0
PRI,11.0,11.0,11.0,11.0,12.0,12.0,12.0
PRT,2.0,2.0,2.0,2.0,2.0,2.0,2.0
PRY,2.0,1.0,1.0,1.0,1.0,1.0,1.0
PSE,0.0,0.0,0.0,0.0,8.0,8.0,8.0
QAT,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ROU,9.0,9.0,9.0,9.0,9.0,9.0,9.0
RUS,4.0,4.0,7.0,7.0,9.0,9.0,9.0
RWA,9.0,10.0,10.0,10.0,10.0,11.0,11.0
SAU,1.0,1.0,1.0,1.0,1.0,1.0,3.0
SDN,3.0,3.0,3.0,3.0,3.0,5.0,3.0
SEN,6.0,6.0,6.0,6.0,6.0,6.0,6.0
SGP,8.0,8.0,8.0,8.0,8.0,8.0,8.0
SLB,10.0,10.0,10.0,10.0,10.0,10.0,10.0
SLE,5.0,5.0,5.0,5.0,5.0,5.0,5.0
SLV,3.0,3.0,9.0,9.0,9.0,9.0,9.0
SMR,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SOM,,,0.0,0.0,0.0,0.0,0.0
SRB,6.0,6.0,6.0,6.0,6.0,6.0,6.0
SSD,2.0,2.0,2.0,2.0,2.0,2.0,2.0
STP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUR,2.0,2.0,2.0,2.0,2.0,2.0,2.0
SVK,7.0,7.0,7.0,7.0,7.0,7.0,7.0
SVN,3.0,3.0,3.0,3.0,3.0,3.0,3.0
SWE,7.0,7.0,7.0,7.0,7.0,7.0,7.0
SWZ,4.0,4.0,4.0,4.0,4.0,4.0,4.0
SYC,2.0,2.0,2.0,2.0,2.0,2.0,2.0
SYR,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TCD,6.0,6.0,6.0,6.0,6.0,6.0,6.0
TGO,6.0,6.0,6.0,6.0,6.0,6.0,6.0
