country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
FIN,94.95765,95.10188,95.79214,96.22216,95.81085,94.97304,94.24573,93.90982,93.49709,92.86466,94.476,94.61306,95.26385,95.93474,96.1047,,
FJI,76.51975,83.30853,,85.43666,81.22868,,80.43713,,85.09221,84.52339,,,,,,,
FRA,89.03434,88.89251,92.63271,92.66312,92.60787,92.59771,92.6832,92.55883,92.86607,93.22666,93.39347,92.95679,93.58103,93.95576,94.66595,,
GBR,95.47093,95.02938,95.55691,92.34619,91.17435,92.61934,94.46231,96.16818,92.958,90.8005,93.84317,97.18701,98.13521,,97.13247,,
GEO,,,88.04291,88.2985,91.36429,91.34337,87.67605,,,,88.75413,90.22179,91.29973,92.4141,94.21028,95.94754,
GHA,32.85822,,36.65545,38.06956,43.33563,44.01556,42.53878,,,,52.66323,52.13977,55.58338,55.43891,55.4414,58.2609,57.24406
GIB,,,,,,,,,,,,,,89.36282,93.83962,,
GIN,19.20104,20.36491,23.22898,25.549,,,,,30.02945,,,32.20633,,,,,
GNQ,,,20.36275,,,,,,,,,,,,,,
GRC,84.42879,86.17291,89.97076,90.06458,87.76634,,,95.21512,,,93.39264,91.30938,92.49466,92.48486,93.34588,,
GRD,82.07647,89.13555,86.42776,,,,,,,,88.37907,91.55919,95.53421,,87.72998,,
GTM,,,,,,36.74233,38.34263,41.79092,42.21131,42.66609,42.87372,43.12295,44.13192,43.92075,43.59611,43.77665,
GUY,,,,,,,76.15302,,86.77272,82.33976,,,,,,,
HKG,73.28081,74.14769,75.10865,75.59361,76.89025,78.07838,78.97387,79.86728,78.43632,90.01135,88.72314,88.86817,89.30273,91.4471,93.73494,96.14117,
HND,,,,,,,,,,,42.20253,41.1479,40.80784,42.5185,43.77822,,
HRV,85.20446,,88.49412,,,93.3058,96.49343,95.03317,94.33046,94.13438,93.30197,92.39203,92.24036,91.87656,92.39267,,
HUN,90.55161,89.71743,90.00626,90.084,90.00401,89.64615,89.1824,89.09243,88.39353,88.94628,89.67352,89.78721,89.1319,89.15815,89.27911,,
IDN,53.46558,54.89742,53.3964,57.5779,64.8416,64.02634,64.76545,66.64897,72.91917,74.17695,75.36034,75.21275,75.77185,,,78.73112,
IND,,,,,,,,,,,61.63147,,,,,,
IRL,92.27449,93.2769,93.59603,93.78802,94.91267,94.53881,95.8761,96.66345,,98.01034,,98.07109,98.10531,98.14067,98.6613,,
IRN,,,,,,,77.81298,76.34191,78.61445,80.44597,77.67467,77.8726,,80.17273,81.37533,,
IRQ,35.89668,40.46964,,,45.16146,,,,,,,,,,,,
ISL,87.53701,89.68152,90.58223,90.6513,89.86835,88.94186,87.03614,87.88673,86.83565,87.162,87.4513,88.68837,89.73447,89.98944,91.2734,,
ISR,99.65913,99.91164,99.77489,99.74114,99.38521,98.6916,98.56833,98.33685,98.45622,98.49454,98.61948,98.74113,98.99156,98.58078,98.63822,,
ITA,91.21779,92.39098,92.36553,93.35992,92.96982,95.20962,95.03722,96.34992,94.32707,93.97184,95.33671,95.40623,95.55489,95.07944,94.66346,,
JAM,75.90072,80.86763,80.61632,,,,,,76.80378,,72.92916,72.78254,71.87973,72.66633,73.20201,73.96802,
JOR,79.26423,78.51319,76.04138,79.17424,,79.64796,,,76.60496,,70.12235,68.23358,,,61.90296,62.59678,
KAZ,,,,94.71818,,,,92.55572,92.91494,93.62616,93.57774,96.95453,98.20578,98.66864,99.83544,99.83695,99.83989
KEN,35.80986,38.54144,40.25251,41.16133,43.23433,47.81761,47.42096,,,,,,,,,,
KGZ,,82.2807,80.63642,80.60553,80.37718,,,,,,,80.23971,80.51887,82.18479,83.16127,84.38733,
KHM,26.49652,27.44903,,32.26357,35.91496,38.33132,,,,,,,,,,,
KIR,68.6703,69.09189,69.13151,,,,,,,,,,,,,,
KNA,86.79782,85.74149,87.2079,,90.39366,97.39046,95.77059,96.25154,95.24622,79.1808,97.78965,97.13024,98.37622,98.00256,,,
KOR,93.75619,94.51301,95.19021,94.37853,94.14674,93.38299,94.64991,94.90295,95.63541,96.42506,97.76121,98.16688,97.70791,98.14563,98.00711,,
KWT,,,,88.71929,88.97308,87.51241,84.58073,87.37731,86.35335,86.53257,85.04221,83.835,86.52941,,,,
LAO,33.31071,34.94459,35.19979,34.41882,35.52986,36.52896,38.11272,39.96589,40.66093,43.58459,47.07239,52.32234,55.82319,58.73341,60.13026,60.0122,
LBR,,,,,,,,,,,,16.961,15.69147,,,,
LCA,63.7075,62.68135,68.03964,68.6966,76.97758,79.70525,82.4496,82.5328,81.23662,80.93965,80.11243,,80.79577,78.60232,80.81903,81.31252,
LIE,94.00596,91.9797,,,,90.65952,91.82644,91.15397,92.36228,92.11856,,91.53872,91.53953,91.20567,85.94145,,
LKA,,,,,,,,84.03138,85.2998,,,,,,89.04229,91.03783,
LSO,21.89832,23.20564,25.0859,25.8478,27.23189,29.59115,32.39088,36.12128,38.96832,40.16248,40.63024,40.64296,41.85947,41.35206,,,
LTU,96.39001,97.50945,98.60829,99.64591,99.30088,98.24224,97.24047,96.98128,97.30754,97.04006,97.46028,97.59719,97.50248,97.52441,98.42562,,
LUX,80.10576,79.72127,82.97076,83.49789,84.14165,84.99195,,86.77192,86.47169,85.92268,85.70984,84.97239,84.43463,84.63978,83.58238,,
LVA,,,,,,91.06387,89.64194,90.3935,91.40143,90.9881,93.35256,92.92582,92.86996,93.58713,93.79965,,
