country_code,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
EGY,11.5,11.6,11.6,11.551153494537,11.5,11.5507970192091,11.6,11.6,11.6,11.6,11.6
ERI,3.0,3.0,3.0,4.8721871655296,3.0,2.95834092932792,3.0,3.0,0.0,0.0,0.0
ESP,11.1,10.1,14.1,15.1956326397025,14.9,14.9740098076054,17.9,17.9,17.9,17.9,17.9
EST,19.4,19.4,19.4,19.4868332703463,19.5,19.508099047707,19.7,20.1,20.2,20.2,20.2
ETH,18.5,18.5,18.5,18.4749520269516,18.5,18.4749603066502,17.6,16.1,17.0,17.0,17.0
FIN,13.9,14.2,14.2,14.2109185358442,14.1,14.1603139347862,13.1,13.0,13.1,13.1,13.1
FJI,1.0,1.0,1.0,0.989795911368608,1.0,0.990369350346329,1.0,1.0,1.0,1.0,1.0
FRA,23.5,23.4,23.2,26.0807183526812,27.8,33.2074996806332,35.0,36.2,36.4,36.6,36.6
FRO,0.0,0.0,0.0,0.0234924730862025,0.0,0.0233716786944293,0.0,0.0,0.0,0.0,0.0
FSM,0.0,0.0,0.0,0.0187205363154838,0.0,0.0157814365656374,0.0,0.0,0.0,0.0,0.0
GAB,12.0,12.1,12.1,12.0754505026703,25.1,25.1293640958956,25.1,25.1,25.1,25.1,25.1
GBR,11.3,19.7,16.6,22.2620645199521,28.9,28.8252338951318,29.0,40.3,39.9,39.9,39.9
GEO,6.1,6.4,6.4,6.44104820465337,6.4,6.44294931342771,7.2,7.2,7.2,8.5,8.5
GHA,7.8,7.8,7.8,7.79423860912041,7.8,7.79471942096576,7.8,7.7,7.7,7.7,7.7
GIB,0.1,13.2,13.2,13.1275909719024,13.2,13.1593352299108,13.2,0.1,0.1,0.0,0.0
GIN,21.4,21.4,21.4,21.3673260076547,24.8,24.7992849458716,24.8,24.9,26.1,26.1,26.1
GMB,1.4,1.4,1.4,1.36702543622438,1.4,1.36615407157188,1.4,2.9,2.9,2.9,2.9
GNB,10.3,10.3,11.5,11.6202197089003,11.6,11.6199334552951,11.6,13.2,13.2,13.4,13.4
GNQ,2.1,2.1,2.1,1.76532601049951,1.8,1.76531204067703,1.8,1.8,1.8,1.8,1.8
GRC,8.6,8.6,8.6,8.56334528515359,8.6,11.0283505287585,11.0,11.0,11.0,11.0,11.0
GRD,0.0,0.0,0.2,0.172574854343071,0.2,0.222068705409949,0.2,0.2,0.2,0.2,0.2
GRL,22.4,22.4,22.4,22.3599788850636,22.4,22.3782828633614,22.4,22.4,22.6,22.4,22.4
GTM,15.7,15.7,15.7,15.7067397650122,15.7,10.121112637184,10.1,10.1,10.1,10.1,10.1
GUM,0.1,0.1,0.1,0.0694251938612372,0.1,0.071134098908744,0.1,0.0,0.0,0.0,0.0
GUY,5.3,5.3,5.3,5.30607683828947,5.3,5.30607734786502,5.2,5.2,5.2,5.2,5.2
HKG,42.1,42.1,41.9,41.9047619047619,41.9,48.9255047485728,41.9,41.9,41.9,41.9,41.9
HND,7.5,12.2,12.2,12.4289336910491,12.4,10.8637009278591,10.9,11.0,11.0,11.0,11.0
HRV,8.0,23.7,23.7,23.5064099082696,23.6,23.5817265852557,23.6,23.9,23.9,23.9,23.9
HTI,0.0,0.0,0.0,0.270169622711773,0.3,0.353092294045252,2.5,2.5,2.8,2.8,2.8
HUN,23.2,22.6,22.6,22.6019271546287,22.6,22.5975581595624,22.6,22.6,22.6,22.6,22.6
IDN,6.1,5.1,5.1,5.06335901930066,5.1,5.26823344567267,5.3,5.3,5.3,5.3,5.3
IMN,,,0.3,4.29405702507729,3.7,4.22910719476977,5.5,5.5,5.5,5.5,5.8
IND,3.4,3.5,3.5,3.47930598498439,3.5,3.47930689489956,3.5,3.5,4.4,4.4,4.4
IRL,3.3,3.4,4.0,4.04293371670989,4.0,4.04223100626643,4.0,4.0,4.0,4.0,4.0
IRN,6.5,6.5,6.5,7.66655342395126,7.7,7.6665206734854,7.7,7.7,7.7,7.7,7.7
