country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
DNK,,0.0,0.0,0.0,0.0,0.0,0.13998,0.13504,0.2944,0.50264,0.74766,0.75212,0.80076,0.70576,0.73067,,
DOM,,5.53338,6.1982,5.54629,4.12193,,4.71485,4.95326,5.18745,5.29727,4.8784,4.54027,3.04789,2.20071,2.8929,2.8143,
DZA,8.84465,8.86426,8.41401,9.19079,8.23075,5.86496,8.35115,5.59483,5.4898,4.87113,5.02184,5.03795,4.5541,4.20995,3.85608,3.67491,
ECU,1.78389,1.78387,1.42094,1.28896,1.21737,,2.44408,1.90927,1.91551,1.56364,1.93239,1.02278,0.7104,0.60943,0.59921,0.39609,
EGY,3.33227,2.85112,1.5399,,,,2.44807,2.50902,2.54609,2.43259,2.39247,,,2.22472,1.68374,1.5049,
ERI,21.47132,22.22249,12.70282,13.50301,14.17649,14.64572,12.79237,13.29614,10.2784,11.51754,10.1978,,5.45407,,6.68716,6.96954,
ESP,,1.85427,,2.35393,2.06065,2.26449,2.30427,2.27715,2.15209,2.05069,2.10358,2.00084,1.89717,2.55248,2.11138,,
EST,1.12975,0.97277,0.80004,1.26884,0.0,0.45569,0.34963,0.33507,0.3495,0.37394,0.36746,0.3308,0.32025,0.34783,0.34663,,
ETH,14.91662,10.88724,6.47638,5.92773,5.42109,5.08126,6.09928,8.33703,10.04689,8.30429,,7.42551,6.69267,,,,
FIN,0.32748,0.32832,0.28676,0.30914,0.3027,0.27944,0.27974,0.28255,0.28045,0.26207,0.22568,0.21617,0.20381,0.17899,0.17198,,
FJI,,1.54149,,1.73108,,1.34119,0.80498,,0.46437,0.36364,0.16491,,0.38413,0.37892,,,
GAB,33.66286,,,,,,,,,,,,,,,,
GBR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
GEO,0.13849,0.15833,0.19777,,,0.21382,0.07486,0.09185,,0.19919,0.19144,0.16016,0.21454,0.22995,0.1885,0.3322,
GHA,5.63675,5.55924,5.67619,5.95635,5.98684,5.97126,4.00104,,2.62715,2.72705,2.51804,2.56582,1.91065,,1.7684,1.69284,
GIB,,,,,,,,,,,,,,0.0,0.0,,
