country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
DZA,92.40589,92.86403,93.09766,93.20169,95.24939,96.36304,97.44184,97.23353,97.5945,97.31376,,,97.54838,97.5908,97.5883,97.63517,
ECU,97.01792,,95.95781,95.93721,96.72017,94.52771,92.34961,92.62287,91.98807,91.67788,91.50564,91.35484,91.6503,91.66046,91.64154,90.94167,
EGY,89.50439,90.66548,89.13222,88.2461,92.40917,,93.55801,95.94726,93.51389,98.53698,,98.0269,,97.45606,97.02531,97.03257,
ERI,72.44337,77.97488,82.46788,83.71832,77.29299,72.48675,67.39935,62.77906,65.78386,67.71657,64.40639,63.25635,59.76386,,51.75237,51.45515,
ESP,99.85653,99.73118,99.65855,99.71458,99.82284,99.82827,99.77222,99.71354,99.73417,99.69626,99.55937,99.47472,99.39278,98.78967,97.27171,,
EST,94.52595,93.9248,93.81157,93.00778,94.47473,94.11625,93.78504,96.75183,97.38176,97.40301,96.16833,94.15752,93.48484,93.48397,93.68129,,
ETH,46.78406,49.57821,60.38556,65.01391,70.07064,75.77882,75.36213,73.35168,77.23446,78.49475,,85.10069,84.62346,,,,
FIN,98.52116,97.57685,97.1783,96.6628,97.26075,97.71417,97.87074,98.21163,98.48757,99.0129,99.03438,99.36498,99.11706,99.05594,98.62944,,
FJI,99.36104,96.70622,,99.12584,96.31323,96.8042,96.73256,,96.74118,96.97145,97.10737,,98.72797,96.76212,,,
FRA,95.19437,95.15357,98.55515,98.57178,98.49684,98.06303,97.70589,97.35002,98.37009,98.27769,98.30237,97.56809,98.43569,98.82171,98.92727,,
FSM,,,,,,,,,,,,86.23183,85.45699,,,,
GBR,99.90834,98.13312,98.78009,98.42751,96.53232,98.63343,97.88299,98.01015,98.11699,98.35876,99.72456,99.89948,99.93433,99.65208,99.49182,,
GEO,,93.55358,92.75616,91.67211,94.73061,98.30193,96.56654,,97.24953,98.51891,99.28296,99.10612,99.58342,97.8812,97.91476,96.43624,
GHA,59.57402,,63.70558,62.81248,68.15086,73.32313,72.36103,,80.58882,79.38927,84.93016,86.99201,89.28957,86.38027,85.1822,84.48045,86.15823
GIB,,,,,,,,,,,,,,99.70191,,,
GIN,58.66561,61.3667,62.90998,64.5528,66.27116,65.68297,66.88138,68.67825,72.46964,73.05369,74.10601,76.90338,,76.01588,,,
GMB,64.04565,64.76537,62.77374,67.29195,66.68337,64.00752,,63.27525,65.36207,67.57606,65.84188,68.70101,71.9013,73.64662,76.0989,76.81635,
GNB,,,,,,,,71.25324,,,,,,,,,
GNQ,65.84711,,,,,47.10148,45.87645,45.07741,45.20342,46.47964,,,43.48324,,,,
GRC,95.74776,96.728,95.79944,95.50275,95.31785,,,96.8096,96.95325,97.73128,97.49025,96.53303,97.32526,97.94221,98.22037,,
GRD,,96.28962,93.1893,,95.27801,93.64296,,,,,,,,,,95.86628,
GTM,,89.31913,90.80877,92.28846,93.29561,93.686,96.29742,95.20853,92.72544,89.87772,87.41445,85.56198,85.21609,84.59497,85.58408,86.88631,
GUY,91.33466,,,,,92.743,88.01357,91.70702,93.15013,93.09037,,,,,,,
HKG,,,,,,,,,,94.19961,93.79324,94.29161,93.80718,96.37164,95.72751,95.45476,
HND,85.74802,85.2252,82.83074,86.78015,81.51275,84.95118,84.14619,84.76193,85.94403,82.9426,79.47982,79.18979,77.96419,79.58265,80.09489,,
HRV,93.61944,,90.43858,90.07755,89.78888,88.02296,85.8984,85.81516,87.64469,89.14168,88.65935,88.74208,88.94188,87.6378,88.0407,,
HUN,88.63265,88.68183,89.3733,90.61516,89.72605,91.18075,91.91353,92.05381,91.45924,90.78135,90.77126,91.07825,91.23812,91.39837,90.83399,,
IDN,90.64128,89.73712,88.93075,91.79173,93.81578,93.13418,93.76106,94.22952,93.73808,92.85318,90.5756,90.00059,,92.77266,94.09782,93.4963,
IND,83.57377,,,,91.12498,90.8729,90.65366,90.95531,90.37191,91.57155,92.25734,,,,,,
IRL,94.8888,94.91075,94.81635,95.19238,95.33288,95.40736,95.46813,95.20748,97.52724,95.33033,95.2089,95.35688,95.75035,95.87164,95.78041,,
IRN,96.04654,97.76144,95.32962,95.87482,95.12881,,97.70461,96.5537,96.70394,97.93445,98.63946,99.52212,99.69128,99.70946,99.70291,,
IRQ,94.37695,92.99956,,,92.79598,,,,,,,,,,,,
ISL,98.20419,96.5557,96.76546,97.22027,98.03954,99.1549,99.6124,99.2208,98.72088,98.15848,98.03622,98.12777,98.56708,99.45437,99.83367,,
ISR,98.01712,97.5958,97.47827,97.00818,97.24211,97.2073,96.90787,97.04351,96.69502,97.30131,96.88277,96.71318,97.20197,96.73324,97.01884,,
ITA,98.44817,98.64055,98.408,98.39118,98.43845,98.24087,97.61927,97.63938,97.18455,97.42164,97.81952,97.13266,96.56912,96.00704,95.65574,,
JAM,89.77681,91.53535,,,,,,,,,,,84.96535,84.05713,82.51691,81.0188,
JOR,90.93573,91.02632,89.88528,87.97299,85.20743,82.77949,,80.7257,78.26942,75.45445,74.83179,,,76.75783,80.09353,80.8644,
KAZ,92.01804,92.58491,91.09722,89.95021,89.51797,90.61103,89.48954,89.45954,87.95573,86.31897,86.15113,86.52115,86.31191,87.3628,86.24057,87.58681,86.85584
KEN,70.65569,68.99043,69.58856,68.69264,78.52198,74.7547,75.94578,,,79.96782,,,,,,,
KGZ,85.66637,90.15894,87.72328,88.89012,87.57056,87.41595,86.84836,87.3591,87.31801,89.62546,90.44162,89.78817,89.45166,89.36426,89.88762,89.85774,
KHM,97.43006,,,94.83255,95.88748,94.57758,,93.61728,97.51867,97.40673,,95.04806,95.26797,92.75899,90.54321,90.26554,
KIR,,,,,,,,,,,,97.4324,95.76556,97.47591,94.69278,,
KNA,95.67879,95.6924,97.33724,,94.4263,93.75983,,94.39666,,96.21426,95.96469,94.52123,,93.7852,,,
KOR,98.5255,98.19463,99.38856,99.40966,99.47129,99.50574,99.49475,98.38177,98.88635,97.84902,95.3693,95.818,97.98472,96.86178,97.25516,,
KWT,87.44694,88.25737,92.70689,,91.54554,92.41341,,92.3455,92.74123,92.59959,92.07642,92.17298,92.12953,90.61364,85.87088,82.63321,
LAO,79.17625,79.84852,81.105,82.62215,85.23456,87.67267,89.97949,94.53585,94.33115,94.32175,96.23668,96.5434,94.89325,94.00376,92.48614,91.46712,
LBR,,,,36.08605,,43.79097,40.55385,,40.78992,,,38.38889,,,44.25563,,
LCA,95.94187,94.24963,91.79219,94.16778,93.2892,,,,,,,,94.16119,94.85034,94.86626,95.39814,
LIE,94.48077,95.6222,90.54969,95.07177,95.179,93.49633,91.85695,93.53901,91.97499,91.08547,,90.68654,94.30104,92.1204,,,
LKA,99.61839,96.84556,97.19208,96.53303,96.14996,95.40908,93.07299,94.73654,94.87746,95.23607,96.37795,97.26222,98.91893,98.90304,99.09921,99.10711,
LSO,81.61161,81.89118,83.75431,86.06502,84.60323,86.17053,86.82353,88.6368,88.93112,89.19998,86.3829,87.35942,88.60833,90.57671,93.31062,,
LTU,95.39212,95.2882,95.6621,96.12148,95.75565,95.10085,95.73237,96.32562,96.76184,97.34555,97.93533,98.15362,98.16962,98.28579,98.17529,,
LUX,94.91876,95.62663,96.25162,96.52911,96.62426,95.79417,,92.73811,92.06646,92.96656,92.73666,93.34251,94.91362,95.5354,95.03083,,
LVA,,,,,,96.06032,96.75487,97.18449,97.30311,96.50816,96.11791,95.80158,95.83711,96.00429,96.30354,,
MAC,84.80423,85.26329,85.43399,85.11616,86.13287,85.99752,84.4063,83.6919,84.496,85.45902,86.94722,90.71511,94.01933,96.7317,96.78639,96.39553,
MAR,85.84979,85.71852,86.73812,87.99563,89.26677,89.83254,89.52588,92.28772,93.22653,92.48523,93.19128,93.26164,,94.61489,96.89422,99.09904,
MDA,92.66273,92.37394,90.98955,87.78561,87.5708,87.71829,87.51561,87.59101,87.81111,87.92876,87.85464,87.14635,86.85478,86.88255,86.50643,86.31417,
MDG,77.72212,,,,,,,,,,,,,,,95.60378,
MDV,,98.78049,97.25467,97.27222,96.66438,96.86625,,,,,,,96.13286,96.25735,95.4151,,
MEX,97.53576,97.66046,97.87734,98.05008,98.0127,98.08626,98.23304,98.0771,97.98488,97.92299,97.57591,96.79833,96.07343,95.69118,95.30064,,
MHL,,,,,,,,,94.11373,,,,72.45776,73.15121,,,
MKD,87.65259,87.66253,87.6979,86.83579,85.95701,85.01817,85.18012,85.3765,,84.49155,88.62747,89.23011,91.7157,,94.8883,,
MLI,51.5891,51.60521,56.65099,57.96729,60.112,,63.68705,64.28644,64.87843,62.84672,58.63384,59.28886,55.64191,56.98024,61.27746,58.94142,
MLT,,,,,,,,,99.17215,99.75378,99.51045,98.90359,98.94416,98.46075,99.53764,,
MMR,90.53915,89.08456,88.82624,88.61108,88.95978,89.83805,88.9333,89.00709,,,,96.1312,,,97.66256,97.93192,
MNE,97.34278,,97.91655,98.46237,96.1793,96.01762,,,90.77913,96.26782,,,93.97655,93.60274,95.71483,96.54847,
MNG,82.57081,87.44803,87.92489,91.67262,88.994,87.73315,95.46461,97.30346,97.82805,97.19697,94.61869,94.62431,96.00155,97.82071,97.86929,97.69756,
MOZ,,70.21871,75.35226,79.21819,84.22039,87.58804,88.58317,89.83316,87.48614,87.73674,88.88743,89.91204,91.51459,90.76644,89.87354,93.92934,
MRT,66.71767,74.01182,72.5486,75.21723,76.04504,72.67765,72.05813,72.37404,72.44657,71.15951,74.54884,76.29421,,73.11291,77.82357,79.5744,
MUS,93.72392,94.39046,96.02008,96.03757,96.515,96.67636,96.5883,96.50869,96.47593,93.66061,96.03009,96.16563,96.13651,94.94084,95.80694,94.80512,
MWI,,97.70925,97.78176,97.1885,94.51593,97.24013,97.6489,,,,,,,,,,
MYS,97.09317,99.37525,99.59294,95.4107,95.11282,95.06773,95.86919,96.23306,97.06133,98.54356,99.66427,99.8924,99.51663,99.82064,99.64564,,
NAM,92.03507,89.88161,90.36721,88.98242,90.53087,90.32156,90.98629,91.7836,,95.22125,97.22695,,,,97.34142,97.48892,
NER,37.50722,40.98293,41.3199,42.0534,43.23786,47.23268,51.04844,54.06424,58.7165,60.38408,60.83162,60.13331,61.62795,63.57047,65.12458,,
NGA,,66.39932,66.85314,67.3432,70.31079,63.39998,64.34126,64.13783,,,,,,,,,
