country_code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
MWI,,,,50.1,,,,,33.5,,,,,,,,,
MYS,,,,,,,,,,17.4,,,,,,,,
NAM,44.1,,,,,,,,28.2,,,,,,,,,
NER,,,,32.1,,,,,,,,18.9,,,,,,
NGA,,,,,,,,,14.0,,,,,,,,,
NIC,24.3,,,,30.2,,,,,,19.1,,,,,,,
NLD,,,,,,,,,,,,,,,23.8,,,
NPL,,,,17.1,,,,11.3,,,,,,,,,,
PAK,,10.4,,,,,,9.5,,,,,,,,,2.1,
PAN,23.5,,,,6.5,,,,,,,,,,,,,
PER,26.6,,,,23.6,,,,,,,18.9,,,,,,12.1
PHL,,,,29.2,,,,,,17.0,,,,,,,,
PNG,,,,,,,,,,61.5,,,,,,,,
POL,,,,22.6,,,,16.2,,,,,,8.5,,,,
PRT,,,,,,,,,,,,,,5.1,,,,
PRY,31.1,,,,39.4,,,,,,,16.5,,,,,,
PSE,,,,,,,,12.6,,,,,,4.2,,,,
ROU,,,,12.1,,,,14.9,,,,,,6.0,,,,
RUS,,,,34.7,,,15.8,,,,,,,14.4,,,,
RWA,17.4,,,,,18.3,,,,,,,,7.8,,,,
SAU,,,,,,,,,,,,,,,,,2.0,
SDN,,,,,,,,,10.9,,,,,,,,,
SEN,,12.1,,,,,,,14.5,,,,,,,,,
SLB,,,,,,,,,,34.6,,,,,,,,
SLE,,,,21.2,,,,,,,,47.3,,,,,,
SLV,47.8,,,,37.1,,,,,,29.1,,,,,,,
SRB,,,,28.1,,,,19.3,,,,,,10.2,,,,
SSD,,,,,,,,,29.9,,,,,,,,,
SUR,,,,,15.6,,,,,,,,34.4,,,,,
SVK,,,,27.3,,,,13.3,,,,,,8.8,,,,
SVN,,,,22.9,,,,15.1,,,,,,12.9,,,,
SWE,,,,,,,,,39.8,,,,,,33.8,,,
SWZ,37.8,,,,,,,,,,44.5,,,,,,,
TCD,,,,40.8,,,,,,,,,25.9,,,,,
TGO,,,,21.8,,,,,,,19.0,,,,,,,
THA,,,,,,,,,,,1.8,,,,,,,
TJK,,,6.7,,,,,4.6,,,,,,1.1,,,,
TLS,,,,21.6,,,,,,15.8,,,,,,3.5,,
TON,,,,16.4,,,,,,,,,,,,,,
TTO,,,,,28.3,,,,,,,,,,,,,
TUN,,,,,,,,12.0,,,,,,,4.3,,,
TUR,,,12.3,,,,,6.1,,,,,,2.6,,,,
TZA,30.5,,,,,,,26.2,,,,,,,,,,
UGA,26.0,,,,,,,15.8,,,,,,,,,,
UKR,,,20.2,,,,,10.7,,,,,,18.8,,,,
URY,38.6,,,,38.1,,,,,,,28.1,,,,,,
UZB,,,3.7,,,,,1.0,,,,,,3.2,,,,
VCT,,,,,30.9,,,,,,,,,,,,,
VEN,21.5,,,,43.7,,,,,,,,,,,,,
VNM,,,,26.2,,,,,,11.0,,,,,,,,
VUT,,,,60.4,,,,,,,,,,,,,,
WSM,,,,52.4,,,,,,,,,,,,,,
YEM,,,,,13.2,,,17.1,,,,,,,,,,
ZAF,,42.6,,,,,,,,,,,,,12.5,,,
ZMB,,31.8,,,,,,27.1,,,,,,32.8,,,,
ZWE,,,,,,22.1,,,,,20.9,,,,,,,
