country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
COD,0.6438,0.6637,0.6836,0.6836,0.6836,0.6836,0.6836,0.6836,0.6836,0.6836,0.6836,0.6836,0.6836,0.6836,0.6836,0.6836,0.6836,0.6836,0.6836
COG,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046
COL,9.253875,9.7565,10.259125,10.76175,11.264375,11.77,13.7905434367,15.8180868734,17.8456303101,19.8731737468,21.9007171835,23.9282606202,25.9558040569,27.9833474936,27.5636340463,27.1439206,27.85185044,28.60974693,29.33173364
COM,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CPV,0.0296552522,0.0337078783,0.0408121031,0.0479163279,0.0550205527,0.0621247774,0.0692290022,0.076333227,0.0834374518,0.0905416766,0.0976459013,0.1047501261,0.1118543509,0.1189585757,0.1260628004,0.1331670252,0.14687253,0.20683121,0.17153252
CRI,,,,,,,,,,2.338321,2.466121,2.74369,3.194018,2.92271,2.44,3.05366,3.13813,3.13608,3.44683
CUB,5.2511272727,5.2561931818,5.2612590909,5.266325,4.9363,5.73785,6.0564,6.01895,6.3321666667,6.6453833333,6.958,6.958,6.958,6.958,6.958,6.958,6.958,6.958,6.958
CYP,0.16938,0.16806,0.16674,0.16542,0.1641,0.1605,0.1843,0.2009,0.2208,0.2553,0.2068,0.217,0.232,0.218,0.216,0.207,0.202,0.231,0.235
CZE,1.9204,1.9327,1.945,1.9573,1.9696,1.988,1.947,1.951,1.887,1.8404,1.6503,1.65,1.6,1.6348,1.63,1.59,1.506,1.366,1.349
DEU,42.945884,41.546916,40.337545,39.732274,32.255,38.869246,39.68796,32.991,36.422802,33.647141,25.326,31.308092,29.833405,24.443,27.748404,26.921134,25.792569,25.792569,25.792569
DJI,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019
DMA,0.0166,0.0166,0.0171666667,0.0177333333,0.0183,0.0188666667,0.0194333333,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
DNK,0.6453333333,0.6372666667,0.6292,0.5923,0.5554,0.696,0.6597,0.8089,0.8657,0.7285,1.009,0.9892,0.8118,0.886995,0.895798,1.105817,0.945594,0.97643,0.97643
DOM,5.2166,5.3338,5.451,5.7882,6.1254,6.4626,6.7998,7.137,7.137,7.137,7.137,7.137,7.137,7.137,7.137,7.137,7.137,7.137,7.137
DZA,6.2202454545,6.3968848485,6.5735242424,6.7501636364,6.9268030303,7.1034424242,7.2800818182,7.4567212121,7.6333606061,7.8,8.1846666667,8.5693333333,8.954,9.23,9.802,9.802,9.802,9.802,9.802
ECU,9.696,9.8059,9.9158,9.9158,9.9158,9.9158,9.9158,9.9158,9.9158,9.9158,9.9158,9.9158,9.9158,9.9158,9.9158,9.9158,9.9158,9.9158,9.9158
EGY,62.061,63.738,65.415,67.092,68.769,70.446,72.123,73.8,71.65,72.3,73.0,60.7,60.9,60.65,77.5,77.5,77.5,77.5,77.5
ERI,0.53985,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582
ESP,36.1503333333,36.7936666667,37.437,36.2065,34.976,34.78,36.12,35.01,35.07,36.75,32.35,32.859,31.51,31.221,30.094,29.409,29.2145,29.02,29.02
EST,1.4975,1.5816,1.6657,1.7498,1.8339,1.604,1.378,1.842,1.874,1.631,1.748,1.72,1.61534264,1.7514,1.7849,1.60854,1.00645,0.8529523,0.999749643
