country_code,2007,2010,2012,2014,2016,2018,2022
KOR,3.52,3.64,3.7,3.666238,3.717126,3.61,3.8
KWT,2.99,3.28,2.83,3.0113,3.151619,2.86,3.2
LAO,2.25,2.46,2.5,2.389703,2.067254,2.7,2.4
LBN,2.37,3.34,2.58,2.725805,2.717255,2.72,
LBR,2.31,2.38,2.45,2.62,2.203914,2.23,2.4
LBY,,2.33,2.28,2.496979,2.264495,2.11,1.9
LKA,2.4,2.29,2.75,2.695239,,2.6,2.8
LSO,2.3,,2.24,2.372849,2.025983,2.28,
LTU,2.78,3.13,2.95,3.178416,3.631688,3.02,3.4
LUX,3.54,3.98,3.82,3.946726,4.219409,3.63,3.6
LVA,3.02,3.25,2.78,3.402789,3.327107,2.81,3.5
MAR,2.38,,3.03,,2.665994,2.54,
MDA,2.31,2.57,2.33,2.653311,2.614269,2.46,2.5
MDG,2.24,2.66,2.72,2.382349,2.154639,2.39,2.3
MDV,,2.4,2.55,2.747544,2.513077,2.67,
MEX,2.87,3.05,3.06,3.128319,3.114031,3.05,2.9
MKD,2.43,2.77,2.56,2.499137,2.510262,2.7,3.1
MLI,2.29,2.27,,2.495227,2.503073,2.59,2.6
MLT,,2.82,3.16,3.106275,3.069256,2.81,3.3
MMR,1.86,2.33,2.37,2.249909,2.458571,2.3,
MNE,,2.43,2.45,2.87552,2.380016,2.75,2.8
MNG,2.08,2.25,2.25,2.355608,2.506056,2.37,2.5
MOZ,2.29,2.29,,2.228925,2.684105,,
MRT,2.63,,2.4,2.228909,1.866001,2.33,2.3
MUS,2.13,2.72,2.82,2.514919,,2.73,2.5
MWI,2.42,,2.81,2.813029,,2.59,
MYS,3.48,3.44,3.49,3.590425,3.426307,3.22,3.6
NAM,2.16,2.02,2.65,2.657883,2.744745,,2.9
NER,1.97,2.54,2.69,2.393399,2.561951,2.07,
NGA,2.4,2.59,2.45,2.808778,2.62809,2.53,2.6
NIC,2.21,2.54,,2.653283,2.531062,,2.5
NLD,4.18,4.07,4.02,4.047782,4.18753,4.02,4.1
NOR,3.81,3.93,3.68,3.958243,3.732163,3.7,3.7
NPL,2.14,2.2,2.04,2.587906,2.376783,2.51,
NZL,3.75,3.65,3.42,3.643892,3.388,3.88,3.6
OMN,2.92,2.84,2.89,2.995026,3.234308,3.2,3.3
PAK,2.62,2.53,2.83,2.825426,2.923219,2.42,
PAN,2.89,3.02,2.93,3.193734,3.337843,3.28,3.1
PER,2.77,2.8,2.94,2.840685,2.893389,2.69,3.0
PHL,2.69,3.14,3.02,3.003844,2.856259,2.9,3.3
PNG,2.38,2.41,2.38,2.430098,2.510624,2.17,2.7
POL,3.04,3.44,3.43,3.493829,3.425877,3.54,3.6
PRT,3.38,3.34,3.5,3.560284,3.409367,3.64,3.4
PRY,2.57,2.75,2.48,2.779734,2.561337,2.78,2.7
QAT,2.98,2.95,3.32,3.516657,3.599232,3.47,3.5
ROU,2.91,2.84,3.0,3.261155,2.99312,3.12,3.2
RUS,2.37,2.61,2.58,2.694479,2.570864,2.76,2.6
RWA,1.77,2.04,2.27,2.759116,2.986229,2.97,2.8
SAU,3.02,3.22,3.18,3.148437,3.156376,3.01,3.4
SDN,2.71,2.21,2.1,2.160954,2.530408,2.43,2.4
SEN,2.37,2.86,2.49,2.62217,2.327711,2.25,
SGP,4.19,4.09,4.13,4.004448,4.143632,4.0,4.3
SLB,2.08,2.31,2.41,2.587528,2.417321,2.57,2.8
SLE,1.95,1.97,2.08,,2.025402,2.08,
SLV,2.66,2.67,2.6,2.960467,2.705726,2.58,2.7
SOM,2.16,1.34,,1.773126,1.747098,2.21,2.0
SRB,2.28,2.69,2.8,2.962556,2.762577,2.84,2.8
STP,2.86,,2.48,2.733896,2.325633,2.65,
SVK,2.92,3.24,3.03,3.254533,3.336895,3.03,3.3
SVN,3.14,2.87,3.29,3.383272,3.184508,3.31,3.3
SWE,4.08,4.08,3.85,3.961349,4.204593,4.05,4.0
SYR,2.09,2.74,2.6,2.090922,1.598322,2.3,2.3
TCD,1.98,2.49,2.03,2.52968,2.164453,2.42,
TGO,2.25,2.6,2.58,2.31846,2.617778,2.45,2.5
THA,3.31,3.29,3.18,3.42958,3.2551,3.41,3.5
TJK,1.93,2.35,2.28,2.527419,2.062743,2.34,2.5
TKM,,2.49,,2.30495,2.211396,2.41,
TLS,1.71,,,,,,
TTO,,,,,2.398418,2.42,2.5
TUN,2.76,2.84,3.17,2.550996,2.496688,2.57,
TUR,3.15,3.22,3.51,3.500225,3.423693,3.15,3.4
TZA,2.08,2.6,2.65,2.330834,2.990185,,
UGA,2.49,2.82,,,3.043284,2.58,
UKR,2.55,2.57,2.85,2.976444,2.736683,2.83,2.7
URY,2.51,2.75,2.98,2.678649,2.974545,2.69,3.0
USA,3.84,3.86,3.93,3.917825,3.992172,3.89,3.8
UZB,2.16,2.79,2.46,2.39477,2.404525,2.58,2.6
VEN,2.62,2.68,2.49,2.808111,2.39078,2.23,2.3
VNM,2.89,2.96,3.0,3.154763,2.976629,3.27,3.3
YEM,2.29,2.58,2.89,2.18395,,2.27,2.2
ZAF,3.53,3.46,3.67,3.431244,3.775321,3.38,3.7
ZMB,2.37,2.28,,2.462674,2.429813,2.53,
ZWE,2.29,,2.55,2.33928,2.082408,2.12,2.5
