SAU,4.3,2.29,5.0,8.0,3.0,4.0
SDN,,39.0,3.0,6.0,11.0,
SEN,4.0,1.41,7.0,1.0,6.0,1.0
SGP,2.4,2.17,2.0,2.0,2.0,2.0
SLB,9.0,,,,,
SLE,10.0,2.0,2.0,,,
SLV,2.0,,2.0,,,
SRB,,2.0,,1.0,1.0,2.0
SVK,2.6,3.0,2.0,2.0,,
SVN,3.7,1.0,,,2.0,1.0
SWE,1.9,1.0,1.0,,,1.0
SYR,,2.45,3.0,,1.0,
TCD,11.0,74.0,25.0,,22.0,
TGO,,,,3.0,2.0,
THA,3.4,1.59,2.0,1.0,1.0,4.0
TJK,,7.0,2.0,14.0,,
TKM,,3.0,,,,
TTO,,,,,7.0,
TUN,5.9,1.73,2.0,1.0,3.0,4.0
TUR,2.5,2.19,2.0,2.0,2.0,3.0
TZA,11.2,3.16,,7.0,4.0,4.0
UGA,14.0,5.48,,,5.0,3.0
UKR,2.4,1.68,2.0,5.0,3.0,
URY,5.0,3.0,14.0,1.0,4.0,
USA,3.6,2.82,2.0,2.0,3.0,2.0
UZB,,1.41,,18.0,18.0,16.0
VEN,,9.44,7.0,8.0,,15.0
VNM,2.8,1.41,2.0,1.0,3.0,2.0
YEM,,3.11,,,3.0,
ZAF,2.2,2.28,2.0,2.0,3.0,
ZMB,9.2,,5.0,3.0,9.0,
ZWE,25.0,,4.0,2.0,5.0,
