country_code,2004,2006,2008,2010,2012,2014,2016,2018,2020
MLI,75.48678,71.29204,67.09729,62.90255,58.7078,54.51306,50.31832,46.12357,41.92883
MMR,35.81751,39.02659,42.23566,45.44474,48.65382,51.8629,55.07197,58.28105,58.28105
MNE,18.5,17.3,16.1,14.9,13.6,12.4,11.2,10.0,8.8
MNG,49.65902,45.68648,41.71394,37.7414,33.76886,29.79631,25.82377,21.85123,17.87869
MOZ,83.06817,79.55451,76.04086,72.5272,69.01354,65.49988,61.98622,58.47257,54.95891
MRT,77.94,74.5634,71.18681,67.81021,64.43361,61.05702,57.68042,56.0,56.0
MWI,74.38269,70.86866,67.35464,63.84062,60.32659,56.81257,53.29854,49.78452,49.78452
NAM,42.25878,42.10975,41.96073,41.8117,41.66268,41.51365,41.36463,41.4,
NER,70.15403,70.21202,70.27001,70.32799,70.38598,70.44397,70.44397,70.44397,
NGA,69.08224,66.56972,64.0572,61.54467,59.03215,56.51963,54.00711,51.49458,48.98206
NIC,69.07378,67.81162,67.2,67.2,,,,,
NPL,60.52627,57.63426,54.74225,51.85024,48.95823,46.06622,43.17421,40.2822,40.2822
PAK,68.17208,66.64728,65.12249,63.59769,62.0729,60.5481,59.0233,57.49851,55.97371
PAN,40.05308,35.74154,31.43,27.11846,22.80692,18.49538,16.3,16.3,
PER,43.71555,41.86678,40.018,38.16923,36.32046,34.47168,,,
PHL,47.16139,45.75529,44.34919,42.94309,41.53699,40.13089,38.7248,37.3187,36.61565
PRY,36.03286,33.03571,30.03857,27.04143,24.04429,21.04714,18.05,15.05286,15.1
PSE,30.0,29.07112,27.16442,25.25772,23.35102,21.44433,19.53763,19.5,19.5
RWA,64.45814,60.97695,57.49576,54.01458,50.53339,47.0522,43.57101,40.08982,38.34923
SDN,99.1,99.08834,94.00333,88.91831,83.8333,78.74829,73.66328,73.7,73.7
SEN,60.04485,56.48985,52.93485,49.37985,45.82485,42.26985,38.71484,35.15984,31.60484
SLE,72.5475,69.80989,67.07228,64.33467,61.59705,58.85944,56.12183,53.38422,50.64661
SLV,49.5,46.49143,40.48857,34.48571,28.48286,22.48,16.47714,16.5,16.5
SSD,99.8,99.8,99.80584,97.0038,94.20176,94.2,94.2,,
STP,61.4,61.4,60.3972,58.45879,56.52039,54.58198,52.64358,52.6,52.6
SUR,9.10421,9.94123,10.77825,11.61526,12.45228,13.2893,14.12632,14.96333,15.80035
SWZ,55.35217,47.92817,40.50418,33.08018,25.65619,18.23219,10.8082,10.8082,10.8082
TCD,89.32919,88.20191,87.07463,85.94735,84.82007,83.69279,82.56551,82.0,82.0
TGO,62.78541,59.54209,56.29878,53.05546,49.81214,46.56882,43.32551,40.08219,38.5
THA,15.08731,14.05075,13.01419,11.97763,10.94107,9.90451,8.86794,7.83138,6.79482
TJK,51.1789,46.63024,42.08157,37.53291,32.98425,28.43558,23.88692,19.33825,17.06392
TKM,10.50752,10.25739,10.00727,9.75714,9.50701,9.25688,9.00675,8.75663,8.5065
TLS,56.1,56.1,54.0,50.0,46.0,42.0,37.9,33.9,33.9
TTO,11.06,10.28,9.5,8.72,7.94,7.5,7.5,,
TUN,,10.4,10.4,10.14415,9.64392,9.14369,8.64346,8.14324,7.64301
TUR,21.79329,20.39926,19.00523,17.61119,16.21716,14.82313,14.12611,14.12611,
TZA,72.81275,68.55511,64.29748,60.03984,55.78221,51.52457,47.26693,43.0093,40.88048
UGA,75.52337,72.83447,70.14557,67.45666,64.76776,62.07886,59.38995,56.70105,54.01214
UKR,4.6,3.9,3.2,2.5,1.8,1.1,1.1,1.1,
URY,23.67571,19.95,16.22429,12.49857,8.77286,5.04714,,,
VEN,25.7,25.7,,,,,,,
VNM,35.429,30.48516,25.54133,20.59749,15.65365,10.70982,5.76598,5.76598,5.76598
YEM,58.56911,55.94758,53.32605,50.70453,48.083,45.46147,44.2,44.2,
ZAF,26.84803,26.46718,26.08634,25.7055,25.32466,24.94382,24.56298,24.18213,24.2
ZMB,60.67926,59.12662,57.57398,56.02134,54.4687,52.91605,51.36341,49.81077,48.25813
ZWE,26.33104,25.73569,25.14033,24.54498,23.94962,23.35427,22.75892,22.16356,21.56821
