country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ABW,11.8959884930874,5.85682753416109,4.99210619976997,4.39818480925157,4.56740537730946,3.99301255607588,8.39226411408479,12.5869547646631,4.24549195907641,10.2460963358125,15.1239530078159,15.4956752115107,16.7305976208938,15.863355718011,17.1236751303567,17.359781081118,17.8122814334042,18.8513550991843
AFG,,,,,,1.01833894909722,1.72112836697912,1.83667067700926,3.53808215690225,1.12575275556025,1.37250239634978,1.69766312411754,1.7843923018448,1.21460632498981,1.63389324656947,2.82937174604224,2.27925799913782,0.701718914339217
AGO,0.556738775052417,0.808687735251078,0.891429156256578,2.41269816562604,1.79815707274069,1.03660512923927,0.645479784351919,0.776370722604321,0.735791047875332,0.628160033280797,0.639765830697099,0.943256700156265,1.02452634658014,3.20769786123003,4.30342893395539,2.94352197094216,3.215343435747,4.56235480401656
ALB,22.3749004761122,23.1268088369536,23.0834119188353,24.281157029946,24.9057976767104,24.4326591033007,28.0659043814401,25.1179546070202,24.9960686245511,23.4778135287766,26.077673872918,27.0707081546519,25.8566641402658,24.5892114234727,24.0589869528205,25.5314674703335,26.7405364956151,14.1943123522602
AND,,,,,,,,,,,,,,,,,9.20230138613722,
ARG,16.0057592962379,11.5297638986128,10.2135270895557,9.80808614069035,9.48055476149587,8.77310158457467,11.6901654929959,9.37488699684106,8.59777278845781,10.1526534471861,9.32539540339701,9.68288399543666,12.2000260949546,16.2728419653326,15.8771787647257,15.0699719483025,14.78807039331,5.24618156983027
ARM,6.34124310864207,11.2904084589597,11.376606462776,11.1858436806996,11.0959293120137,9.74144973987652,12.635066549415,14.127771550521,15.3726279358666,17.032460443743,18.3858618095078,20.0646823330097,23.918389871403,23.107765592608,21.542413329103,19.9857190359168,20.2044996581523,6.45190387068973
ATG,,,,,,,,,,,,9.6212776948938,11.1320531540478,10.9356956409107,10.9191971279902,9.79781328811019,10.0723687307438,4.66469928109723
AUS,9.61612265394953,10.9642344576309,10.6086965040116,10.0016895535604,10.5321704458337,10.2058140150842,10.8782446869871,10.7069186802486,10.710540625767,10.3203311212964,10.9297635770262,11.5412164782198,12.5636036196177,13.6565875190613,13.7080169028113,13.6246946631098,13.9812676329676,3.0390395790341
AUT,,,7.43995447611491,,,,,,,,,,6.00719901882121,6.03972452675249,6.04322611224346,5.91314424857211,6.00243423524769,2.641236872473
AZE,2.52565220758841,2.2579268554272,2.76046653646466,3.24360129956913,4.1135988126923,4.06390925076753,4.98624440260858,8.3623214116849,11.3194968082584,15.0462232973376,15.5544268221932,16.0405933001135,14.8700456672493,15.6894958613433,16.386956193334,13.7901136634374,10.2789689798596,2.80834996567443
BDI,,12.4970299781383,19.1954763856734,28.1922755229195,24.2978526411938,25.4103928724218,13.6627539858496,5.76851295488023,6.40253891441921,,,,,,,,,
BEL,6.44852274093303,6.20221670893693,6.06452731446082,5.99553775131742,5.40668251067277,,6.33223018450518,5.73509948148273,5.25851575638471,5.41959670535997,5.74233264328992,6.07103125213551,4.48946224182481,4.43837145394551,4.31947298125169,4.58860659311641,4.74179105046664,3.38070337617655
BEN,4.92987711032366,5.2157209696071,5.06527669775788,5.07433467367068,5.08286285299704,4.23333834842352,3.92392759049392,3.97014761760757,3.5106768558946,3.71072054074544,1.17712055978171,1.30145058337234,4.03630650804447,2.34140811248444,3.6835662745152,1.62787407312044,3.018621699505,
BFA,,,5.30761387809165,5.78585625343716,5.45862897239617,4.65680990114072,5.69338901283406,4.29819604800537,3.66873643063669,3.76806726270239,4.5208037842382,4.06484429903783,4.24147823196998,4.32598852046668,3.93140018409549,3.69658718995878,3.68692808492164,
BGD,3.51402789132101,3.40725879698207,2.52239668635981,2.8658536856337,2.71054391970888,2.920408020939,2.8215096679514,2.83331213125474,2.16219849367654,2.35503215284381,3.14662114582846,1.73098368046025,1.81456130186139,1.7501253552406,1.98538101281744,1.84035397743223,2.16241811992912,1.16069439507612
BGR,12.1380278702597,11.4916711094595,9.01582061019393,8.00073545048775,6.07776474131864,6.33607338373052,7.19074962546938,3.62035642873189,3.13930480493783,3.17217837483166,3.690286516925,3.92542394040458,4.21634947460088,5.15319412989451,5.50160855531038,5.37764364913927,5.25972906167967,3.30778161517693
BHR,7.92901236562807,6.46232758711945,5.5798753845756,5.52813952418204,5.3142917324908,4.32529943299728,5.2580637605116,5.22317675013707,6.47493535102002,3.78652509373354,3.53318438691024,2.8551049847732,22.1461332061296,15.4921996191245,13.31262603193,9.32393341396024,10.2593201924569,
BHS,14.1705659106693,14.9452538462519,14.4111052383098,12.3590192284408,11.8593310589315,9.99577792458198,10.3433787370145,9.78106063276836,8.14922618752661,7.79992224452512,7.55077163880112,6.46679718493207,8.19963855548934,9.84966144163229,11.2568075863374,10.1440426851153,10.6206782368945,4.86689191542631
BIH,2.40846491807966,2.28536641991591,2.00258552313115,2.57791374755389,2.94984934655581,3.02680529672352,3.30440051764121,2.8087144334853,2.05459759650025,2.04127426750464,2.00852323313796,1.95133551132926,3.18783965975154,3.23639334317367,3.33563417370369,3.27104080293232,3.52278363330369,1.6759368894664
BLR,3.76709665713372,3.03567525560386,3.00092470354237,2.92696887439618,2.43908190800888,2.10317285635329,2.51180749934867,2.03145496172011,1.52611669245085,1.93172926447574,2.87209585431385,2.98495881989151,3.04690770956277,2.97074268567142,2.96476532594608,2.8302776816881,2.88947777025289,1.35374450839492
