country_code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
MOZ,,74.6,,,,,,,,,,,76.7,,,,,
MRT,90.4,,,,,,,,71.8,,,,,,,,,
MUS,,,,18.9,,,,,,,,,,,,,,19.8
MWI,,,,83.8,,,,,73.3,,,,,,,,,
MYS,,,,,,,,,,21.6,,,,27.5,,,,
NAM,23.5,,,,,,,,35.9,,,,,,,,,
NER,,,,69.9,,,,,,,,63.3,,,,,,
NGA,,81.7,,,,,,,68.8,,,,,,,,,
NIC,50.2,,,,57.1,,,,,,66.9,,,,,,,
NLD,,,,,,,,,,,,,,,12.5,,,
NPL,,,,63.4,,,,65.6,,,,,,,,,,46.2
NZL,,,,,,,,,,,,,,,,,,4.5
PAK,,52.0,,,,,,65.6,,,,,,,,,35.6,
PAN,49.9,,,,37.6,,,,,,,,,,,,,
PER,54.7,,,,62.6,,,,,,,57.1,,,,,,22.1
PHL,,,,87.2,,,,,,73.9,,,,,,,,71.9
PNG,,,,,,,,,,43.7,,,,,,,,
POL,,,,35.1,,,,40.3,,,,,,21.8,,,,
PRT,,,,,,,,,,,,,,10.1,,,,14.9
PRY,36.6,,,,35.0,,,,,,,31.3,,,,,,21.6
PSE,,,,,,,,51.7,,,,,,48.3,,,,44.8
ROU,,,,67.2,,,,58.5,,,,,,35.8,,,,42.2
RUS,,,,63.0,,,48.1,,,,,,,24.6,,,,
RWA,83.9,,,,,54.1,,,,,,,,71.3,,,,76.8
SAU,,,,,,,,,,,,,,,,,62.9,
SDN,,,,,,,,,94.9,,,,,,,,,
SEN,,74.9,,,,,,,44.1,,,,,,,,,
SGP,,,,,,,,,,,,,,,,,,2.9
SLB,,,,,,,,,,80.2,,,,,,,,
SLE,,,,85.6,,,,,,,,87.2,,,,,,80.7
SLV,69.9,,,,64.1,,,,,,40.5,,,,,,,31.2
SRB,,,,48.8,,,,55.2,,,,,,44.6,,,,
SSD,,,,,,,,,81.3,,,,,,,,,
SUR,,,,,65.3,,,,,,,,24.3,,,,,
SVK,,,,53.5,,,,46.5,,,,,,28.7,,,,13.8
SVN,,,,19.4,,,,12.8,,,,,,23.9,,,,
SWE,,,,,,,,,8.9,,,,,,6.5,,,
SWZ,77.6,,,,,,,,,,68.9,,,,,,,
SYC,,,,,,,,,,,,,,,,,,27.0
TCD,,,,96.2,,,,,,,,,82.0,,,,,59.1
TGO,,,,67.4,,,,,,,76.7,,,,,,,66.6
THA,,,,,,,,,,,41.9,,,,,,,
TJK,,,61.0,,,,,73.2,,,,,,78.7,,,,
TLS,,,,44.3,,,,,,50.1,,,,,,23.0,,
TON,,,,21.9,,,,,,,,,,,,,,
TTO,,,,,42.3,,,,,,,,,,,,,
TUN,,,,,,,,23.8,,,,,,,9.3,,,
TUR,,,54.1,,,,,55.8,,,,,,36.5,,,,
TZA,84.7,,,,,,,65.6,,,,,,,,,,92.5
UGA,84.9,,,,,,,75.5,,,,,,,,,,
UKR,,,56.7,,,,,59.4,,,,,,32.8,,,,
URY,35.2,,,,38.2,,,,,,,22.8,,,,,,
UZB,,,42.8,,,,,34.2,,,,,,29.1,,,,
VCT,,,,,44.9,,,,,,,,,,,,,
VEN,85.0,,,,78.8,,,,,,,,,,,,,
VNM,,,,61.1,,,,,,42.7,,,,,,,,23.4
VUT,,,,75.2,,,,,,,,,,,,,,55.0
WSM,,,,52.1,,,,,,,,,,,,,,28.8
YEM,,,,,81.8,,,89.7,,,,,,,,,,
ZAF,,44.8,,,,,,,,,,,,,25.2,,,
ZMB,,81.1,,,,,,60.3,,,,,,75.8,,,,
ZWE,,,,,,81.6,,,,,75.7,,,,,,,
