country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
HKG,,63.03684,52.2215,50.3713,37.43397,27.54043,54.69056,25.67837,25.43375,30.16774,34.79222,24.59004,23.31769,24.33261,23.04764,24.20304
HND,,,,,,,,43.56348,,48.12399,52.02067,46.89926,40.93656,,,
HRV,25.35383,23.60723,,,24.19965,28.17146,25.58302,22.24972,25.54797,,25.74607,,,,,
HUN,31.07815,23.87014,23.28688,23.32975,23.64241,24.17084,27.59751,24.65824,28.09955,21.15852,25.40906,23.33577,21.24612,25.40887,,
IDN,,,,,23.70688,16.9734,21.05883,21.83162,,23.32807,21.60243,19.53687,20.76979,,,
IND,70.25823,62.91641,59.80892,56.92187,,,77.55281,71.54343,60.97288,54.44577,49.27271,,,,,
IRL,23.00727,22.74967,23.4954,25.00394,25.42936,31.84588,36.18447,31.53732,29.69555,28.56806,25.6625,22.76605,18.99692,15.54304,,
IRN,29.24287,23.43159,20.20363,25.69523,23.35713,17.01206,18.22381,15.23897,17.00301,14.83633,12.1726,12.80467,,18.12099,24.15663,
ISL,29.24665,26.34483,27.52771,25.35656,25.98655,26.71026,27.58608,26.39043,22.41595,24.73664,23.88149,23.86484,24.7867,27.31457,,
ISR,26.0644,22.14951,21.28346,21.5983,21.2449,19.91179,20.78325,19.79111,19.16336,21.08343,21.91679,20.93237,19.25088,18.18129,,
ITA,22.40146,21.60069,21.07472,22.08651,20.92153,23.56882,24.34607,24.44501,24.20626,24.53473,26.27299,26.27229,25.26641,24.32675,,
JAM,33.01935,38.18464,58.35469,,,44.04528,56.83809,54.52797,49.43669,38.75464,42.04212,,36.59035,,,
JOR,,,,,,,,,,,,,,23.18203,22.61967,25.32656
JPN,,,,,,,,,,,23.99086,24.36669,,20.60904,,
KAZ,,,,7.49532,,,,,,,9.56983,9.23194,11.33543,9.89648,8.5651,7.46282
KEN,,280.69714,,,,,,,,,,,76.42309,,,
KGZ,22.34201,22.78565,21.89344,22.2978,22.63517,19.04264,19.6311,18.87649,,18.43656,17.40966,5.58524,,4.84321,4.89776,
KHM,,,,,,,8.80257,6.57624,5.25497,,,,,,,
KNA,,,,,,,,,,,,,5.84161,,,
KOR,,,,,,,,,,,,,14.76092,15.02377,,
KWT,132.25856,112.89651,,,,,,,,,,,,,,
LAO,,,,,,,20.85342,14.651,18.07199,14.61925,21.67916,20.34415,,,,
LBN,,19.56536,21.58644,20.80963,16.64964,14.09011,11.31736,10.74533,10.46455,17.12481,19.47978,,,,,
LBR,,,,,,,,,,51.35162,,,,,,
LCA,,,,,,,13.13302,15.31342,12.6902,,,,,,,0.0
LIE,24.58953,21.88283,,10.24261,9.1402,,,,,,,,,,,
LKA,,,,,,,,21.85289,27.04113,21.08954,23.67263,26.8462,29.412,30.52166,26.60908,31.55806
LSO,,,,1046.17915,,,,,,,,,,,,44.69406
LTU,20.07651,19.5678,17.39589,16.30627,16.13788,16.01176,16.8635,19.20368,23.57808,24.55553,24.57223,26.89075,24.80784,17.99265,,
LUX,,,,,,,,,,0.39603,,41.11313,42.75533,,,
LVA,13.52347,11.57517,,14.28632,14.70856,15.96512,13.29023,15.03855,20.04302,29.38398,29.62048,25.51264,27.37707,17.72948,,
MAC,20.1443,19.0448,21.53847,19.18789,16.00569,16.40389,15.48866,23.24413,28.85212,49.61225,19.14788,17.35804,24.61862,23.20479,19.0542,
MAR,,,,,,,82.09375,,,,,,,,,
